,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-13,0.7857118334089006,1.4647471957996658,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-14
0,2016,01-04,01-05,1.7972681721237498,1.1916572909208687,L,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,02-01,02-19,2.9377495350629808,8.961350115297838,W,100%,Low,High,pos_change,16_Feb_m1,01-30,02-19
0,2016,01-29,02-01,3.129144348512208,9.997459127033483,W,90%,Low,High,pos_change,16_Feb_m1,01-29,02-01
0,2016,03-10,03-18,1.4147077587346253,4.361442189375193,W,100%,Low,High,pos_change,16_Mar_m1,03-08,03-18
0,2016,03-02,03-04,2.563166520059462,2.440130754657641,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-04
0,2016,03-28,04-05,1.2449557462376553,2.188994689187325,W,100%,Low,High,pos_change,16_Apr_m1,03-25,04-05
0,2016,03-21,03-22,3.201378070913451,0.799487373252806,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,05-05,05-12,2.658883562798588,5.254410590074626,W,100%,Low,High,pos_change,16_May_m1,05-03,05-15
0,2016,05-05,05-06,3.615784181196733,2.7829701144821115,L,90%,Low,High,pos_change,16_May_m1,05-05,05-08
0,2016,05-24,05-26,0.8040719003438749,1.198103352371097,W,100%,Low,High,pos_change,16_Jun_m1,05-24,06-04
0,2016,05-23,05-24,2.5889941668467022,1.2847135684739368,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,07-06,07-14,1.2799493202109968,2.7096034946911067,W,100%,Low,High,pos_change,16_Jul_m1,07-06,07-14
0,2016,06-22,06-23,2.013963389356319,1.4486869113747591,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-25
0,2016,07-21,07-26,1.3044719306879118,1.3767676724340077,W,100%,Low,High,pos_change,16_Aug_m1,07-18,07-31
0,2016,07-25,07-26,2.5349326216862997,0.5964932678705754,L,90%,Low,High,pos_change,16_Aug_m1,07-24,07-26
0,2016,08-30,09-06,1.9256305031391776,3.2793224497214584,W,100%,Low,High,pos_change,16_Sep_m1,08-27,09-07
0,2016,09-01,09-02,3.7313451882787687,3.057271685424476,L,90%,Low,High,pos_change,16_Sep_m1,09-01,09-02
0,2016,10-04,10-06,2.0539133272864585,0.9991663886109212,L,100%,Low,High,pos_change,16_Oct_m1,10-01,10-09
0,2016,09-29,09-30,2.678576036228065,0.8574969121435023,L,90%,Low,High,pos_change,16_Oct_m1,09-28,10-01
0,2016,10-28,11-08,1.880652676086049,15.24351569832766,W,100%,Low,High,pos_change,16_Nov_m1,10-28,11-18
0,2016,10-24,10-25,4.225352398236136,0.5245488896357492,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-05,12-13,1.964732403796364,4.927864194773286,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-14
0,2016,12-02,12-05,2.1698722856789803,0.8415876902354597,L,90%,Low,High,pos_change,16_Dec_m1,12-02,12-05
0,2017,01-03,01-09,0.7857118334089006,2.7359561210341963,W,100%,Low,High,pos_change,17_Jan_m1,01-01,01-14
0,2017,01-03,01-04,1.4647471957996658,1.5975078244723688,W,90%,Low,High,pos_change,17_Jan_m1,01-02,01-05
0,2017,02-01,02-06,2.6252983293556085,2.2482670030011787,L,100%,Low,High,pos_change,17_Feb_m1,02-01,02-16
0,2017,02-01,02-03,2.6252983293556085,1.575710377398461,L,90%,Low,High,pos_change,17_Feb_m1,02-01,02-03
0,2017,03-03,03-07,1.3018127914154547,1.272411530755602,L,100%,Low,High,pos_change,17_Mar_m1,03-01,03-07
0,2017,03-01,03-02,2.24719967990831,1.0836496413676808,L,90%,Low,High,pos_change,17_Mar_m1,03-01,03-04
0,2017,04-05,04-18,1.5259035413640103,2.234748438279517,W,100%,Low,High,pos_change,17_Apr_m1,04-05,04-21
0,2017,03-22,03-23,2.495121549298444,2.5933814594041484,W,90%,Low,High,pos_change,17_Apr_m1,03-22,03-23
0,2017,05-03,05-08,2.658883562798588,6.857139950706845,W,100%,Low,High,pos_change,17_May_m1,05-03,05-15
0,2017,05-05,05-08,3.615784181196733,2.634465112932417,L,90%,Low,High,pos_change,17_May_m1,05-05,05-08
0,2017,05-25,06-02,0.8040719003438749,3.560834660317893,W,100%,Low,High,pos_change,17_Jun_m1,05-24,06-04
0,2017,05-22,05-23,2.5889941668467022,0.6227109195782147,L,90%,Low,High,pos_change,17_Jun_m1,05-22,05-24
0,2017,06-29,07-03,1.3430316723390807,1.9895532794629984,W,100%,Low,High,pos_change,17_Jul_m1,06-29,07-08
0,2017,06-19,06-20,2.509444875104696,1.2599597735694144,L,90%,Low,High,pos_change,17_Jul_m1,06-19,06-20
0,2017,07-27,08-03,1.677395363122793,2.2560704881900326,W,100%,Low,High,pos_change,17_Aug_m1,07-27,08-11
0,2017,07-24,07-26,2.5349326216862997,2.729234991791622,W,90%,Low,High,pos_change,17_Aug_m1,07-24,07-26
0,2017,08-28,09-05,1.9256305031391776,2.740258571989934,W,100%,Low,High,pos_change,17_Sep_m1,08-27,09-07
0,2017,10-03,10-13,2.102411120493452,2.2031371824501425,W,100%,Low,High,pos_change,17_Oct_m1,10-01,10-13
0,2017,09-29,10-02,2.678576036228065,0.630915116791039,L,90%,Low,High,pos_change,17_Oct_m1,09-29,10-02
0,2017,11-01,11-03,2.388057424061334,3.9411516796618793,W,100%,Open,High,pos_change,17_Nov_m1,11-01,11-11
0,2017,10-24,10-25,3.986181125227192,0.3839105695496363,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,12-04,12-08,1.964732403796364,8.258622268150592,W,100%,Low,High,pos_change,17_Dec_m1,12-02,12-14
0,2017,11-28,11-30,2.4246274118445585,6.672723943536932,W,90%,Low,High,pos_change,17_Dec_m1,11-28,12-01
0,2018,01-10,01-19,1.2438271958129457,4.870773023492619,W,100%,Low,High,pos_change,18_Jan_m1,01-10,01-19
0,2018,01-04,01-05,1.4647471957996658,2.619722487617988,W,90%,Low,High,pos_change,18_Jan_m1,01-02,01-05
0,2018,02-01,02-02,2.2482670030011787,1.0548548152320207,L,100%,Low,High,pos_change,18_Feb_m1,02-01,02-16
0,2018,01-30,01-31,2.380952380952381,1.4866339293282531,L,90%,Low,Open,pos_change,18_Feb_m1,01-29,02-01
0,2018,03-01,03-09,1.4844813449385836,3.6705040981863855,W,100%,Low,High,pos_change,18_Mar_m1,02-28,03-09
0,2018,03-01,03-02,1.816906132658826,1.4377576186997083,L,90%,Low,High,pos_change,18_Mar_m1,02-28,03-03
0,2018,03-22,04-04,1.6722365001663348,3.137588581305089,W,100%,Low,High,pos_change,18_Apr_m1,03-19,04-10
0,2018,03-22,03-23,2.495121549298444,0.9060418277725584,L,90%,Low,High,pos_change,18_Apr_m1,03-22,03-23
0,2018,05-03,05-07,2.658883562798588,4.941664552884361,W,100%,Low,High,pos_change,18_May_m1,05-03,05-15
0,2018,05-04,05-07,2.858996559894185,4.856720354655064,W,90%,Low,High,pos_change,18_May_m1,05-04,05-07
0,2018,05-24,05-30,0.8040719003438749,4.100802585085841,W,100%,Low,High,pos_change,18_Jun_m1,05-24,06-04
0,2018,07-02,07-06,1.3430316723390807,2.956393133612744,W,100%,Low,High,pos_change,18_Jul_m1,06-29,07-08
0,2018,06-25,06-27,2.082696090034796,1.4334287674744932,L,90%,Low,High,pos_change,18_Jul_m1,06-25,06-27
0,2018,07-26,07-27,1.677395363122793,1.1951609129570009,L,100%,Low,High,pos_change,18_Aug_m1,07-26,08-11
0,2018,08-31,09-10,2.2140235166933477,2.3381584090850738,W,100%,Low,High,pos_change,18_Sep_m1,08-31,09-19
