,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-05,02-17,5.4249524427513744,3.4520501959813785,L,100%,Low,High,pos_change,16_Feb_m1,02-03,02-17
0,2016,02-29,03-11,2.5809727883322773,6.456700781342145,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-13
0,2016,02-22,02-23,5.090004120157039,1.1193980912076618,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,04-01,04-04,4.28571750129753,2.4390265722654325,L,100%,Low,High,pos_change,16_Apr_m1,04-01,04-12
0,2016,04-25,04-27,2.816903300286353,3.235293430165561,W,100%,Low,High,pos_change,16_May_m1,04-25,05-19
0,2016,04-18,04-19,9.752060448762863,1.604277727768215,L,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,05-23,06-01,4.866175249831918,5.785563395752768,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-06
0,2016,05-24,05-25,6.077767551009696,3.595982605303095,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,07-05,07-13,1.4990302774066997,12.224553982120758,W,100%,Low,High,pos_change,16_Jul_m1,07-02,07-14
0,2016,06-27,06-29,6.979475585377068,7.194251059016556,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-29,08-05,3.5593220338983054,3.650380753842988,W,100%,Low,High,pos_change,16_Aug_m1,07-29,08-06
0,2016,07-25,07-28,7.134295637203087,2.351246485270857,L,90%,Low,High,pos_change,16_Aug_m1,07-25,07-28
0,2016,09-06,09-07,3.967859977809229,1.662709710951045,L,100%,Low,High,pos_change,16_Sep_m1,09-03,09-16
0,2016,10-13,10-19,4.826541316752346,5.1144627469182575,W,100%,Low,High,pos_change,16_Oct_m1,10-10,10-21
0,2016,10-10,10-11,5.175601825507799,0.0,L,90%,Low,High,pos_change,16_Oct_m1,10-10,10-11
0,2016,10-24,10-28,3.007518796992481,9.47758309731032,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-04
0,2016,10-25,10-28,7.507507679512727,9.124421532822655,W,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,11-21,12-08,4.7454325929024,8.442086689149319,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-09
0,2016,11-28,11-29,6.82095153235682,0.4424726480381776,L,90%,Low,High,pos_change,16_Dec_m1,11-28,11-29
0,2017,01-06,01-13,2.733220403485269,4.87229757935357,W,100%,Low,High,pos_change,17_Jan_m1,01-06,01-18
0,2017,01-10,01-13,4.282538806271295,3.933022651398767,L,90%,Low,High,pos_change,17_Jan_m1,01-10,01-13
0,2017,02-06,02-16,4.35027410861628,2.569516177955293,L,100%,Low,High,pos_change,17_Feb_m1,02-06,02-16
0,2017,01-25,01-26,7.363419001677425,7.094845294301109,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,02-28,03-13,2.5809727883322773,6.730097995919564,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-13
0,2017,02-21,02-22,5.747119274824464,1.0273946206237945,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,03-22,04-05,3.3714995163378907,7.640971173323645,W,100%,Low,Open,pos_change,17_Apr_m1,03-22,04-15
0,2017,04-25,04-28,2.816903300286353,10.4103826990929,W,100%,Low,High,pos_change,17_May_m1,04-25,05-19
0,2017,05-23,05-31,4.866175249831918,4.138930062961829,L,100%,Low,High,pos_change,17_Jun_m1,05-23,06-06
0,2017,05-23,05-24,5.88234885881213,2.0549901596265903,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-24
0,2017,06-29,07-14,2.9304000421592904,13.821952064140024,W,100%,Low,Open,pos_change,17_Jul_m1,06-27,07-16
0,2017,06-28,06-29,6.5268114754809,1.927475141533865,L,90%,Low,High,pos_change,17_Jul_m1,06-28,06-29
0,2017,08-11,08-16,3.714858274517832,7.059542995078127,W,100%,Low,High,pos_change,17_Aug_m1,08-11,08-18
0,2017,07-27,07-28,4.736843921471193,6.242428403912169,W,90%,Low,High,pos_change,17_Aug_m1,07-25,07-28
0,2017,08-21,09-12,3.818264803223668,9.489489248682183,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-13
0,2017,09-05,09-06,4.848480224609375,2.087502192605444,L,90%,Low,High,pos_change,17_Sep_m1,09-03,09-06
0,2017,10-10,10-18,4.286405900312654,4.32361017275519,W,100%,Low,High,pos_change,17_Oct_m1,10-10,10-18
0,2017,10-10,10-13,4.990766458021759,3.580897736872711,L,90%,Low,High,pos_change,17_Oct_m1,10-10,10-13
0,2017,11-06,11-13,2.8994069951391954,4.13437197286251,W,100%,Low,High,pos_change,17_Nov_m1,11-05,11-15
0,2017,10-25,10-27,7.507507679512727,10.964228464166172,W,90%,Low,High,pos_change,17_Nov_m1,10-25,10-28
0,2017,11-22,11-24,4.7454325929024,1.2034262179619717,L,100%,Low,High,pos_change,17_Dec_m1,11-21,12-09
0,2017,11-20,11-21,7.02588432258192,0.5914516415954738,L,90%,Open,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-08,01-18,2.733220403485269,4.415011111884904,W,100%,Low,High,pos_change,18_Jan_m1,01-06,01-18
0,2018,01-30,01-31,4.18305364682408,2.817210940674836,L,100%,Low,High,pos_change,18_Feb_m1,01-28,02-16
