,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-26,01-29,2.2185122752813795,5.485636876884307,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-02
0,2016,01-25,01-26,4.176128903819672,1.6409273813827678,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,02-29,03-18,2.242152466367713,8.367024880368014,W,100%,Low,High,pos_change,16_Mar_m1,02-26,03-18
0,2016,03-03,03-04,3.5279460230439645,3.3868074712308247,L,90%,Low,High,pos_change,16_Mar_m1,03-03,03-04
0,2016,03-24,04-13,1.0232835106612932,2.3631495911324665,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-13
0,2016,03-29,03-30,2.120516028831892,2.8233161625626244,W,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-25,04-27,2.6534382935676804,3.5754774730987537,W,100%,Low,High,pos_change,16_May_m1,04-22,05-13
0,2016,04-18,04-19,5.250668958276422,2.8976923450011336,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-24,06-06,1.3365096377093826,5.350031590123039,W,100%,Low,High,pos_change,16_Jun_m1,05-24,06-17
0,2016,06-27,07-14,2.7383677843150886,11.963471804334471,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-14
0,2016,06-27,06-29,3.4482681032820586,5.662102577620674,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-19,07-27,1.7931076575969829,2.6120450669208264,W,100%,Low,High,pos_change,16_Aug_m1,07-18,07-27
0,2016,07-19,07-21,3.1810821709465675,1.4572521571604975,L,90%,Low,High,pos_change,16_Aug_m1,07-19,07-22
0,2016,08-29,09-12,1.9143534179542712,2.482182381618215,W,100%,Open,High,pos_change,16_Sep_m1,08-28,09-16
0,2016,09-29,10-11,1.7885777766114712,6.167511540409231,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-16
0,2016,09-28,09-29,3.007523908782525,1.986581687159186,L,90%,Low,High,pos_change,16_Oct_m1,09-28,09-29
0,2016,11-04,11-18,1.508120649651972,16.531519148573132,W,100%,Low,High,pos_change,16_Nov_m1,11-04,11-18
0,2016,10-26,10-27,3.3566401107275885,2.376652041853468,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,11-22,12-07,1.84756834347584,5.317950581238509,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-07
0,2016,12-05,12-06,2.8901734104046244,1.3876591018589677,L,90%,Low,High,pos_change,16_Dec_m1,12-03,12-06
0,2017,01-11,01-13,1.103115290303488,1.7468220658811475,W,100%,Low,High,pos_change,17_Jan_m1,01-08,01-18
0,2017,01-12,01-13,2.008221581383466,2.2761743176856326,W,90%,Low,High,pos_change,17_Jan_m1,01-11,01-14
0,2017,01-26,01-27,2.2185122752813795,0.7892468503726531,L,100%,Low,High,pos_change,17_Feb_m1,01-26,02-02
0,2017,01-25,01-26,4.176128903819672,2.113890270349797,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,03-01,03-02,2.38481630631046,1.2220006262008334,L,100%,Low,High,pos_change,17_Mar_m1,03-01,03-14
0,2017,02-28,03-01,3.527022063004938,4.307823894683084,W,90%,Low,High,pos_change,17_Mar_m1,02-26,03-01
0,2017,04-03,04-05,1.3844182632626287,2.4263032468178416,W,100%,Low,High,pos_change,17_Apr_m1,04-03,04-18
0,2017,03-27,03-28,2.610441283646702,5.686871825902679,W,90%,Low,High,pos_change,17_Apr_m1,03-26,03-29
0,2017,04-27,05-04,2.4926300480962658,3.2332599319785724,W,100%,Low,High,pos_change,17_May_m1,04-24,05-12
