,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-06,0.0,3.49595769159421,W,100%,Open,Open,pos_change,16_Jan_m1,01-01,01-08
0,2016,01-05,01-06,1.6819571865443423,3.7159573097463983,W,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,02-01,02-02,3.132490161470765,3.546363978959869,W,100%,Low,High,pos_change,16_Feb_m1,01-31,02-17
0,2016,01-28,01-29,4.8780505673400665,3.295962753351991,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-29
0,2016,02-24,02-26,1.9140615774085885,12.052892627522963,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-02
0,2016,02-24,02-25,3.194564344707592,9.821160549661622,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-21,04-04,2.2061640501508304,7.217533966195064,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-07
0,2016,03-28,03-29,3.831263663760594,2.932797217656846,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,04-29,05-09,2.4324324324324325,5.907145985114023,W,100%,Low,Open,pos_change,16_May_m1,04-27,05-17
0,2016,04-26,04-27,4.382151174603495,1.908693610573054,L,90%,Low,High,pos_change,16_May_m1,04-26,04-29
0,2016,05-23,06-10,1.6172506738544474,10.529971843866278,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-12
0,2016,06-01,06-03,2.9810298102981028,4.209609310768001,W,90%,Close,High,pos_change,16_Jun_m1,05-31,06-03
0,2016,06-29,07-08,2.236362804066051,6.075057789831298,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-08
0,2016,06-23,06-24,3.4574468085106385,0.0,L,90%,Open,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-22,08-01,1.63996859696035,2.9475033241561333,W,100%,Low,High,pos_change,16_Aug_m1,07-20,08-09
0,2016,07-25,07-26,2.973977695167286,1.1391467315409247,L,90%,Low,High,pos_change,16_Aug_m1,07-25,07-26
0,2016,08-25,09-07,2.202967496275141,5.216519529856136,W,100%,Low,High,pos_change,16_Sep_m1,08-24,09-11
0,2016,09-30,10-10,4.014857483209328,4.974812971600773,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-21
0,2016,09-29,09-30,4.340185991670312,2.848601988166015,L,90%,Low,High,pos_change,16_Oct_m1,09-28,10-01
0,2016,11-01,11-10,2.004412046857754,6.273813416637662,W,100%,Low,High,pos_change,16_Nov_m1,10-31,11-14
0,2016,10-24,10-25,4.884514925062156,0.4721825093836401,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,12-01,12-09,1.6843859431184032,10.274884462460946,W,100%,Low,High,pos_change,16_Dec_m1,11-30,12-10
0,2016,11-22,11-23,2.721086531200158,3.6227866945286022,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-24
0,2017,01-06,01-13,1.6819571865443423,4.217094096801268,W,100%,Low,High,pos_change,17_Jan_m1,01-06,01-13
0,2017,01-05,01-06,1.8748980579602328,3.144139593972868,W,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,01-31,02-17,3.132490161470765,9.343299207694264,W,100%,Low,High,pos_change,17_Feb_m1,01-31,02-17
0,2017,02-24,03-02,1.9140615774085885,8.139409183199303,W,100%,Low,High,pos_change,17_Mar_m1,02-24,03-02
0,2017,03-28,04-20,3.580213996456081,4.390247456070009,W,100%,Low,High,pos_change,17_Apr_m1,03-25,04-21
0,2017,04-27,05-02,3.223213278466449,4.435105671546662,W,100%,Low,High,pos_change,17_May_m1,04-27,05-16
0,2017,04-26,04-28,4.962406015037594,3.407674540058986,L,90%,Low,High,pos_change,17_May_m1,04-26,04-29
0,2017,05-31,06-02,1.5647059145860085,4.355028870048798,W,100%,Low,High,pos_change,17_Jun_m1,05-30,06-09
