,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.7915331580840248,3.464142119708348,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-14
0,2016,01-20,02-02,2.5875169146951,11.791587348780729,W,100%,Low,High,pos_change,16_Feb_m1,01-19,02-19
0,2016,02-29,03-07,2.191384301354956,2.876053136684636,W,100%,Low,High,pos_change,16_Mar_m1,02-26,03-10
0,2016,02-24,02-25,4.519425389594473,4.739338760973104,W,90%,Open,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,03-31,1.9900503555374849,2.750382805950294,W,100%,Open,High,pos_change,16_Apr_m1,03-22,04-02
0,2016,04-25,05-17,3.4869246461903938,3.104447138339636,L,100%,Low,High,pos_change,16_May_m1,04-22,05-19
0,2016,04-21,04-22,5.370155868502833,0.3901717442310207,L,90%,Low,High,pos_change,16_May_m1,04-21,04-22
0,2016,05-26,06-09,2.7718532937429043,2.3538729365853266,L,100%,Low,High,pos_change,16_Jun_m1,05-26,06-14
0,2016,05-23,05-24,3.4468838206703225,1.2463150240481329,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-27,07-06,2.98459662942848,7.220769480736648,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-07
0,2016,07-18,08-01,2.688480818605912,4.761301418557134,W,100%,Low,High,pos_change,16_Aug_m1,07-18,08-03
0,2016,08-25,08-26,3.001537749800152,1.6104322221792082,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-16
0,2016,08-31,09-01,4.553121075340658,1.1171641250384172,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,09-22,09-23,4.429806321357131,0.7487189220916828,L,100%,Low,High,pos_change,16_Oct_m1,09-22,10-21
0,2016,10-28,11-10,3.963882940121013,4.176370125618093,W,100%,Low,Open,pos_change,16_Nov_m1,10-27,11-15
0,2016,10-24,10-25,4.610946480102821,0.3803814386295489,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-05,12-13,1.9550537795163272,2.2109467573634225,W,100%,Low,High,pos_change,16_Dec_m1,12-05,12-15
0,2016,11-21,11-22,3.0772743609278983,3.2910092063798664,W,90%,Low,Open,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-05,01-10,2.4017788248560024,2.9603964314495474,W,100%,Low,High,pos_change,17_Jan_m1,01-05,01-17
0,2017,02-07,02-15,1.7522844126399408,4.626668294270833,W,100%,Low,High,pos_change,17_Feb_m1,02-07,02-17
0,2017,01-26,01-27,4.070109738845098,0.6266682942708334,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,02-22,03-02,3.281738075321022,5.659382962454075,W,100%,Low,High,pos_change,17_Mar_m1,02-21,03-06
0,2017,03-21,03-31,2.750382805950294,2.961250297386281,W,100%,Low,High,pos_change,17_Apr_m1,03-21,04-05
0,2017,05-05,05-10,2.6454694974483117,3.174802823002425,W,100%,Low,High,pos_change,17_May_m1,05-03,05-16
0,2017,05-26,06-01,2.3538729365853266,1.103275507940888,L,100%,Low,High,pos_change,17_Jun_m1,05-26,06-14
0,2017,05-23,05-24,3.4468838206703225,0.5925057895965925,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-24
0,2017,06-26,07-03,2.98459662942848,5.459523214483145,W,100%,Low,High,pos_change,17_Jul_m1,06-26,07-07
0,2017,08-03,08-08,1.9690580299869545,4.372371009714527,W,100%,Low,High,pos_change,17_Aug_m1,08-02,08-10
0,2017,07-24,07-25,4.519769506087243,3.9153807944367,L,90%,Low,High,pos_change,17_Aug_m1,07-24,07-25
0,2017,09-05,09-12,0.9708682130449126,3.5973254143084548,W,100%,Low,High,pos_change,17_Sep_m1,09-04,09-15
0,2017,08-24,08-25,3.1383803502490766,2.0803757643970533,L,90%,Low,High,pos_change,17_Sep_m1,08-24,08-25
0,2017,09-20,09-27,2.531293821274112,3.3917079916685404,W,100%,Low,High,pos_change,17_Oct_m1,09-18,10-09
0,2017,09-22,09-25,4.183194614357212,2.550237420619668,L,90%,Low,High,pos_change,17_Oct_m1,09-22,09-25
0,2017,10-30,11-13,3.963882940121013,4.586351179582988,W,100%,Low,Open,pos_change,17_Nov_m1,10-27,11-15
0,2017,10-24,10-25,4.610946480102821,0.418695625923926,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,12-04,12-05,2.2109467573634225,0.9780568701454122,L,100%,Low,High,pos_change,17_Dec_m1,12-02,12-13
0,2017,11-20,11-21,3.2205732033425445,0.9917780250526912,L,90%,Low,Open,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-08,01-12,2.4017788248560024,4.620291252036117,W,100%,Low,High,pos_change,18_Jan_m1,01-05,01-17
0,2018,01-22,01-30,1.9853218945100384,4.022476853637987,W,100%,Low,High,pos_change,18_Feb_m1,01-22,02-12
0,2018,01-26,01-29,3.8027296051674977,3.0968427631092874,L,90%,Low,High,pos_change,18_Feb_m1,01-26,01-29
0,2018,02-21,02-28,3.281738075321022,11.845407790697957,W,100%,Low,High,pos_change,18_Mar_m1,02-21,03-06
0,2018,02-22,02-23,4.360802247388153,2.821357195384221,L,90%,Low,High,pos_change,18_Mar_m1,02-22,02-25
0,2018,03-23,04-05,2.750382805950294,6.832994987805501,W,100%,Low,High,pos_change,18_Apr_m1,03-21,04-05
0,2018,05-07,05-16,3.174802823002425,7.392366889592624,W,100%,Low,High,pos_change,18_May_m1,05-04,05-18
0,2018,04-24,04-25,3.4782625663059776,0.9908164253964432,L,90%,Low,High,pos_change,18_May_m1,04-24,04-25
0,2018,05-30,06-07,1.4415472966722642,8.379633955173524,W,100%,Low,High,pos_change,18_Jun_m1,05-30,06-07
0,2018,05-23,05-24,3.3132483398885992,3.063814410803265,L,90%,Low,High,pos_change,18_Jun_m1,05-23,05-24
0,2018,06-26,06-29,2.98459662942848,3.022852081430297,W,100%,Low,High,pos_change,18_Jul_m1,06-26,07-07
0,2018,06-26,06-27,5.310752851076924,2.8733120413307485,L,90%,Low,High,pos_change,18_Jul_m1,06-26,06-27
0,2018,08-02,08-10,1.9690580299869545,5.535868733687516,W,100%,Low,High,pos_change,18_Aug_m1,08-02,08-10
