,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-21,02-05,2.426168009718059,6.687737250383788,W,100%,Close,High,pos_change,16_Feb_m1,01-21,02-11
0,2016,01-29,02-01,5.090652262682073,2.2673118278944675,L,90%,Low,High,pos_change,16_Feb_m1,01-29,02-01
0,2016,02-29,03-16,1.687335923026967,7.095635338383791,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-16
0,2016,02-25,02-26,2.798300997209425,1.4599905869825696,L,90%,Low,High,pos_change,16_Mar_m1,02-25,02-26
0,2016,04-07,04-15,1.291248206599713,1.9762173173912168,W,100%,Open,High,pos_change,16_Apr_m1,04-06,04-15
0,2016,03-21,03-22,3.10267302822546,1.2660415264796292,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-21,05-11,2.1645021645021645,4.498847802847142,W,100%,Low,High,pos_change,16_May_m1,04-18,05-12
0,2016,04-21,04-22,3.403330919623461,2.6974578927901267,L,90%,Low,High,pos_change,16_May_m1,04-19,04-22
0,2016,06-08,06-13,1.3157953324198677,0.8894711401950087,L,100%,Low,High,pos_change,16_Jun_m1,06-05,06-13
0,2016,05-26,05-27,2.5873429250630764,1.1768818480835748,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-27,07-01,2.271694660611102,9.119181426622086,W,100%,Low,High,pos_change,16_Jul_m1,06-25,07-13
0,2016,06-22,06-23,2.623210856179696,1.9513070903653011,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-25
0,2016,08-04,08-11,1.3788353809019052,1.1914906603224733,L,100%,Low,High,pos_change,16_Aug_m1,08-04,08-17
0,2016,08-01,08-02,2.01095630630118,1.0000031569908403,L,90%,Low,High,pos_change,16_Aug_m1,07-30,08-02
0,2016,09-09,09-12,1.6315445240898434,1.1623858174607653,L,100%,Low,High,pos_change,16_Sep_m1,09-08,09-16
0,2016,09-01,09-02,3.744632435137461,1.402227884383841,L,90%,Low,High,pos_change,16_Sep_m1,09-01,09-02
0,2016,09-29,10-14,2.6992173286288543,2.2527257764372552,L,100%,Low,High,pos_change,16_Oct_m1,09-28,10-18
0,2016,09-27,09-28,4.328018223234624,1.1869162119538943,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-28,11-14,2.381375404512026,4.331261103006686,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-18
0,2016,10-31,11-01,3.382938590644474,0.6674093798981008,L,90%,Low,High,pos_change,16_Nov_m1,10-29,11-01
0,2016,11-25,12-01,1.2506903044594353,2.139697790976578,W,100%,Low,High,pos_change,16_Dec_m1,11-24,12-01
0,2017,01-12,01-18,1.0192090417446162,2.33862543036324,W,100%,Low,High,pos_change,17_Jan_m1,01-11,01-18
0,2017,01-25,02-03,2.312138728323699,1.1250316834776044,L,100%,Low,High,pos_change,17_Feb_m1,01-25,02-06
0,2017,01-24,01-25,4.161292982795333,2.1435931347011072,L,90%,Low,High,pos_change,17_Feb_m1,01-24,01-25
0,2017,02-27,03-02,1.687335923026967,3.1905248202816794,W,100%,Low,High,pos_change,17_Mar_m1,02-27,03-16
0,2017,02-22,02-23,2.687895392784834,1.4925416327961678,L,90%,Low,High,pos_change,17_Mar_m1,02-22,02-25
0,2017,04-03,04-17,1.9832974925665496,1.7863099625497358,L,100%,Low,High,pos_change,17_Apr_m1,04-03,04-20
0,2017,05-01,05-04,2.03453292864328,0.4127115094531755,L,100%,Low,High,pos_change,17_May_m1,04-28,05-07
0,2017,04-24,04-25,3.33843185314828,1.6199021187432163,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,06-06,06-09,1.0274015763521964,0.9917782536904782,L,100%,Low,High,pos_change,17_Jun_m1,06-03,06-11
0,2017,06-26,06-28,2.607118855520669,0.8955862613359802,L,100%,Low,High,pos_change,17_Jul_m1,06-24,07-16
0,2017,06-26,06-27,2.7125654670152155,0.8563154681792395,L,90%,Low,High,pos_change,17_Jul_m1,06-24,06-27
0,2017,07-31,08-04,1.3360305888441584,2.088898805251401,W,100%,Low,High,pos_change,17_Aug_m1,07-31,08-07
0,2017,07-26,07-27,2.332385771176215,0.4295950108492785,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-27
0,2017,08-21,08-23,1.6109060639035082,1.0242696742142692,L,100%,Low,High,pos_change,17_Sep_m1,08-21,09-06
0,2017,09-29,10-19,2.6992173286288543,9.2452801492983,W,100%,Low,High,pos_change,17_Oct_m1,09-28,10-19
0,2017,10-04,10-05,3.3595420691019164,1.2654101022393338,L,90%,Low,High,pos_change,17_Oct_m1,10-04,10-05
0,2017,10-27,11-02,2.3724544840826214,4.352174955241473,W,100%,Low,High,pos_change,17_Nov_m1,10-27,11-16
0,2017,10-30,11-01,3.313190205460613,2.469415636222078,L,90%,Low,High,pos_change,17_Nov_m1,10-29,11-01
0,2017,11-24,11-30,1.2506903044594353,5.308633719143634,W,100%,Low,High,pos_change,17_Dec_m1,11-24,12-01
0,2018,01-11,01-18,1.0192090417446162,4.587568827381912,W,100%,Low,High,pos_change,18_Jan_m1,01-11,01-18
0,2018,01-08,01-09,1.870577363493913,2.3569765019315,W,90%,Low,High,pos_change,18_Jan_m1,01-07,01-10
0,2018,01-22,02-02,2.426168009718059,9.63442690204818,W,100%,Close,High,pos_change,18_Feb_m1,01-22,02-11
0,2018,01-24,01-25,4.161292982795333,1.784371733174935,L,90%,Low,High,pos_change,18_Feb_m1,01-24,01-25
0,2018,03-02,03-12,1.687335923026967,4.745543838728116,W,100%,Low,High,pos_change,18_Mar_m1,02-27,03-16
0,2018,02-26,02-27,2.228645255405487,2.282288563592015,W,90%,Low,High,pos_change,18_Mar_m1,02-26,02-27
0,2018,04-04,04-05,1.7863099625497358,4.080575120505765,W,100%,Low,High,pos_change,18_Apr_m1,04-03,04-20
0,2018,03-23,03-26,2.67483728280459,2.686054019757284,W,90%,Low,High,pos_change,18_Apr_m1,03-23,03-26
0,2018,05-08,05-11,1.8724446581896603,3.2840698790261627,W,100%,Low,High,pos_change,18_May_m1,05-07,05-18
0,2018,04-24,04-25,3.2965030955443875,1.9038195741142137,L,90%,Low,High,pos_change,18_May_m1,04-24,04-25
0,2018,06-06,06-08,1.0274015763521964,3.1580587414948784,W,100%,Low,High,pos_change,18_Jun_m1,06-03,06-12
0,2018,05-24,05-25,2.511521000610879,1.646826150549772,L,90%,Low,High,pos_change,18_Jun_m1,05-23,05-25
0,2018,07-02,07-03,1.4026722840813737,2.182867786302296,W,100%,Low,High,pos_change,18_Jul_m1,06-29,07-06
0,2018,06-22,06-25,2.623210856179696,1.0025855924239029,L,90%,Low,High,pos_change,18_Jul_m1,06-22,06-25
0,2018,08-02,08-07,1.3360305888441584,3.25197234867126,W,100%,Low,High,pos_change,18_Aug_m1,07-31,08-07
0,2018,07-23,07-24,2.869948717635359,1.4646362937169917,L,90%,Low,High,pos_change,18_Aug_m1,07-23,07-24
0,2018,09-11,09-19,2.2206525982733285,6.1968029371257405,W,100%,Low,High,pos_change,18_Sep_m1,09-11,09-19
0,2018,09-28,10-08,2.6992173286288543,3.3146154730450674,W,100%,Low,High,pos_change,18_Oct_m1,09-28,10-19
0,2018,10-04,10-05,3.3595420691019164,1.4588956735827672,L,90%,Low,High,pos_change,18_Oct_m1,10-04,10-05
0,2018,10-29,11-09,2.3724544840826214,8.405297745303333,W,100%,Low,High,pos_change,18_Nov_m1,10-27,11-16
0,2018,10-25,10-26,3.7935041788659176,1.445541101658685,L,90%,Low,High,pos_change,18_Nov_m1,10-23,10-26
0,2018,11-21,11-29,1.866416495127449,3.0633958291284067,W,100%,Low,High,pos_change,18_Dec_m1,11-19,12-07
0,2018,11-26,11-27,2.761723272985817,2.665518958097539,L,90%,Low,High,pos_change,18_Dec_m1,11-26,11-27
0,2019,01-11,01-18,1.0192090417446162,4.309555767344591,W,100%,Low,High,pos_change,19_Jan_m1,01-11,01-18
0,2019,01-24,02-13,2.544700089588189,5.343451585834795,W,100%,Low,High,pos_change,19_Feb_m1,01-24,02-13
0,2019,02-21,03-01,1.3434029990282292,4.034386509595113,W,100%,Low,High,pos_change,19_Mar_m1,02-21,03-04
0,2019,02-25,02-26,2.158149239497398,1.9801910009869983,L,90%,Low,High,pos_change,19_Mar_m1,02-24,02-27
0,2019,04-04,04-16,1.7788835632950812,1.9120504377167475,W,100%,Low,High,pos_change,19_Apr_m1,04-04,04-17
0,2019,03-26,03-27,3.016263020991192,2.2472707570336934,L,90%,Low,High,pos_change,19_Apr_m1,03-25,03-27
0,2019,04-22,05-01,1.9889992660816067,5.564497541980941,W,100%,Low,High,pos_change,19_May_m1,04-22,05-02
0,2019,04-22,04-23,2.7380988711402527,1.1641501805347771,L,90%,Low,High,pos_change,19_May_m1,04-22,04-23
0,2019,06-03,06-12,1.0274015763521964,3.962176908006994,W,100%,Low,High,pos_change,19_Jun_m1,06-03,06-12
