,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.6949221515183823,3.1863700894022227,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-15
0,2016,01-07,01-08,2.2508098161355123,1.27957305682925,L,90%,Low,High,pos_change,16_Jan_m1,01-06,01-08
0,2016,01-26,02-05,4.345162600834485,6.286999657435905,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-11
0,2016,01-19,01-20,6.058394108103658,0.0,L,90%,Low,High,pos_change,16_Feb_m1,01-18,01-20
0,2016,03-04,03-14,2.8279027877121408,4.635636994713746,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-16
0,2016,03-01,03-02,4.255321796492474,3.098536354449684,L,90%,Close,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-28,04-15,2.4347012698596737,6.179586404274494,W,100%,Low,High,pos_change,16_Apr_m1,03-28,04-15
0,2016,03-28,03-29,4.099669137874231,3.098078053071436,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,04-29,05-11,3.461186061078523,2.9253263996166217,L,100%,Low,High,pos_change,16_May_m1,04-27,05-16
0,2016,04-18,04-19,7.282317549579051,1.7992434457667117,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-10,06-17,1.071347355594915,1.9194743873002,W,100%,Low,High,pos_change,16_Jun_m1,06-07,06-17
0,2016,06-01,06-02,3.0413823856212017,2.163905879089405,L,90%,Low,High,pos_change,16_Jun_m1,05-30,06-02
0,2016,07-01,07-13,0.7574603097624507,6.495344139268296,W,100%,Low,High,pos_change,16_Jul_m1,07-01,07-13
0,2016,06-28,07-01,3.080619823856534,8.645092935610844,W,90%,Low,High,pos_change,16_Jul_m1,06-28,07-01
0,2016,07-27,08-04,2.5053610819047853,6.661494502074554,W,100%,Low,High,pos_change,16_Aug_m1,07-27,08-18
