,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.1921721217471086,2.329004024556961,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-13
0,2016,01-04,01-05,2.5765089802046264,2.329004024556961,L,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-28,01-29,4.7166496296547935,6.814674880283437,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-17
0,2016,02-29,03-02,2.676344525044236,2.460457432938872,L,100%,Low,High,pos_change,16_Mar_m1,02-27,03-10
0,2016,02-29,03-02,3.341996317606053,2.460457432938872,L,90%,Low,High,pos_change,16_Mar_m1,02-27,03-02
0,2016,03-29,04-13,3.4223135643366263,7.620919515790926,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-14
0,2016,03-29,03-30,4.607048265053582,3.037114664367264,L,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-25,04-27,3.542673107890499,2.824864734494024,L,100%,Low,High,pos_change,16_May_m1,04-22,05-12
0,2016,06-01,06-07,1.1884550084889642,8.108820924849857,W,100%,Low,High,pos_change,16_Jun_m1,05-29,06-17
0,2016,05-23,05-26,2.8754683994387222,3.389379280462805,W,90%,Low,High,pos_change,16_Jun_m1,05-23,05-26
0,2016,06-23,07-14,0.5130855959162971,2.874473115034455,W,100%,Low,High,pos_change,16_Jul_m1,06-20,07-15
0,2016,08-01,08-19,2.5835866261398177,5.636358880377435,W,100%,Close,High,pos_change,16_Aug_m1,07-29,08-19
0,2016,08-05,08-08,3.2511606104088084,2.129326266584053,L,90%,Low,High,pos_change,16_Aug_m1,08-05,08-08
0,2016,08-31,09-02,2.322515392691326,1.5252125673108703,L,100%,Low,High,pos_change,16_Sep_m1,08-28,09-10
0,2016,09-01,09-02,2.53040345237308,2.534162627984278,W,90%,Low,High,pos_change,16_Sep_m1,09-01,09-02
0,2016,09-27,09-29,3.498542274052478,3.2315934016208794,L,100%,Low,High,pos_change,16_Oct_m1,09-27,10-18
0,2016,09-20,09-21,5.561194939840056,1.1316836795815293,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,10-26,11-14,5.293276108726753,17.95729285835068,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-16
0,2016,10-26,10-27,6.329978622835069,2.984306352683149,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,11-28,12-02,0.5325296354468853,6.986513109426992,W,100%,Low,High,pos_change,16_Dec_m1,11-27,12-04
0,2016,11-21,11-22,3.0978934324659235,2.466063651070856,L,90%,Low,Open,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-03,01-05,2.1921721217471086,4.450373376416361,W,100%,Low,High,pos_change,17_Jan_m1,01-01,01-13
0,2017,01-04,01-05,2.681590167635139,3.327245605978077,W,90%,Low,High,pos_change,17_Jan_m1,01-04,01-07
0,2017,01-31,02-13,4.7166496296547935,5.918932571975515,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-17
0,2017,01-30,01-31,5.474047733015959,1.3672278805221532,L,90%,Low,High,pos_change,17_Feb_m1,01-28,01-31
0,2017,02-27,03-01,2.4555356881009023,5.230828763559868,W,100%,Low,High,pos_change,17_Mar_m1,02-27,03-09
0,2017,02-23,02-24,3.2618619986281363,0.5722773548478592,L,90%,Low,High,pos_change,17_Mar_m1,02-23,02-26
0,2017,03-29,04-10,3.616280116737335,3.6838750723783473,W,100%,Low,High,pos_change,17_Apr_m1,03-29,04-20
0,2017,04-25,04-26,2.0316061590569463,0.958263994277304,L,100%,Low,High,pos_change,17_May_m1,04-25,05-01
0,2017,04-24,04-25,4.26731078904992,1.2612231038556658,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-23,05-26,2.844034183685815,4.032606416104929,W,100%,Low,High,pos_change,17_Jun_m1,05-23,06-11
0,2017,07-10,07-19,2.519682569136797,4.784790819731087,W,100%,Low,High,pos_change,17_Jul_m1,07-08,07-21
0,2017,06-27,06-28,6.102493772220632,3.977151043828116,L,90%,Low,High,pos_change,17_Jul_m1,06-27,06-28
0,2017,07-28,08-02,2.260018275379496,3.2378608622039198,W,100%,Low,High,pos_change,17_Aug_m1,07-28,08-16
0,2017,08-07,08-08,3.2511606104088084,1.4971357302348645,L,90%,Low,High,pos_change,17_Aug_m1,08-05,08-08
0,2017,08-29,09-01,2.2955116012085446,3.9129501905432864,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-04
0,2017,09-26,10-09,3.1487544902598543,5.422253760319971,W,100%,Low,High,pos_change,17_Oct_m1,09-26,10-18
0,2017,10-02,10-03,5.001971202415445,1.6164974671459018,L,90%,Low,High,pos_change,17_Oct_m1,10-02,10-03
0,2017,10-30,11-09,5.481084805823158,5.359529576454376,L,100%,Open,High,pos_change,17_Nov_m1,10-27,11-16
0,2017,10-24,10-25,6.445158686369726,1.6201097197845613,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-27
0,2017,11-27,12-04,0.5325296354468853,6.086796367330339,W,100%,Low,High,pos_change,17_Dec_m1,11-27,12-04
0,2017,11-20,11-21,3.0978934324659235,2.19489097616554,L,90%,Low,Open,pos_change,17_Dec_m1,11-20,11-22
0,2018,01-02,01-12,2.1921721217471086,6.399149640115645,W,100%,Low,High,pos_change,18_Jan_m1,01-01,01-13
0,2018,01-04,01-05,2.681590167635139,2.111691275014977,L,90%,Low,High,pos_change,18_Jan_m1,01-04,01-07
0,2018,01-31,02-16,4.601226993865031,4.8211525263915815,W,100%,Low,High,pos_change,18_Feb_m1,01-28,02-16
0,2018,01-25,01-26,4.901267135872627,2.282263142925164,L,90%,Low,High,pos_change,18_Feb_m1,01-25,01-28
0,2018,03-02,03-09,2.4555356881009023,6.599614962606945,W,100%,Low,High,pos_change,18_Mar_m1,02-27,03-09
0,2018,02-23,02-26,3.2618619986281363,3.7313446355171873,W,90%,Low,High,pos_change,18_Mar_m1,02-23,02-26
0,2018,03-29,04-20,3.616280116737335,13.933010963303296,W,100%,Low,High,pos_change,18_Apr_m1,03-29,04-20
0,2018,04-27,05-11,2.0316061590569463,6.008658586549833,W,100%,Low,High,pos_change,18_May_m1,04-25,05-11
0,2018,04-23,04-24,4.040186915278165,2.1425200666923465,L,90%,Low,High,pos_change,18_May_m1,04-23,04-25
0,2018,05-23,06-08,2.844034183685815,5.538647781555069,W,100%,Low,High,pos_change,18_Jun_m1,05-23,06-11
0,2018,07-06,07-18,2.145836208068816,3.629704536365637,W,100%,Low,High,pos_change,18_Jul_m1,07-06,07-20
0,2018,06-26,06-27,4.70383275261324,2.967861512232138,L,90%,Low,High,pos_change,18_Jul_m1,06-26,06-27
0,2018,07-30,08-01,2.260018275379496,3.0494198416748777,W,100%,Low,High,pos_change,18_Aug_m1,07-28,08-16
0,2018,08-06,08-07,3.067484662576687,1.5453844796941922,L,90%,Low,High,pos_change,18_Aug_m1,08-05,08-08
0,2018,08-29,08-30,2.2955116012085446,1.4066143178379695,L,100%,Low,High,pos_change,18_Sep_m1,08-29,09-04
0,2018,09-28,10-03,3.1487544902598543,2.196251704073579,L,100%,Low,High,pos_change,18_Oct_m1,09-26,10-18
0,2018,09-24,09-25,5.104602510460251,2.403034002910234,L,90%,Low,High,pos_change,18_Oct_m1,09-24,09-25
0,2018,10-29,11-08,5.359529576454376,11.76927046232366,W,100%,Low,High,pos_change,18_Nov_m1,10-27,11-16
0,2018,10-23,10-24,6.727011137002881,2.72710434817143,L,90%,Low,High,pos_change,18_Nov_m1,10-23,10-24
0,2018,11-30,12-03,2.215869140163444,4.095995187231296,W,100%,Low,High,pos_change,18_Dec_m1,11-29,12-20
0,2018,11-20,11-21,4.276315789473684,4.052291343714487,L,90%,Low,High,pos_change,18_Dec_m1,11-20,11-21
0,2019,01-03,01-11,2.1921721217471086,7.601166019839667,W,100%,Low,High,pos_change,19_Jan_m1,01-01,01-13
0,2019,01-28,02-06,4.064596251656186,6.070591873644445,W,100%,Low,High,pos_change,19_Feb_m1,01-25,02-14
0,2019,01-28,01-30,4.7166496296547935,4.5771852847095085,L,90%,Low,High,pos_change,19_Feb_m1,01-28,01-31
0,2019,02-27,03-04,2.4555356881009023,2.073304188067257,L,100%,Low,High,pos_change,19_Mar_m1,02-27,03-09
0,2019,02-25,02-26,3.2618619986281363,0.7470842555254895,L,90%,Low,High,pos_change,19_Mar_m1,02-23,02-26
0,2019,03-27,04-01,3.4223135643366263,4.922329315575431,W,100%,Low,High,pos_change,19_Apr_m1,03-25,04-14
0,2019,03-25,03-26,5.945417704523361,1.6720423877115718,L,90%,Low,High,pos_change,19_Apr_m1,03-25,03-26
0,2019,04-25,04-29,2.0316061590569463,1.714070154071663,L,100%,Low,High,pos_change,19_May_m1,04-25,05-11
0,2019,04-23,04-24,4.040186915278165,1.8384432804442248,L,90%,Low,High,pos_change,19_May_m1,04-23,04-25
0,2019,05-23,06-10,2.844034183685815,8.019788199404593,W,100%,Low,High,pos_change,19_Jun_m1,05-23,06-11
0,2019,05-21,05-22,3.412845156608372,0.8590754528246237,L,90%,Low,High,pos_change,19_Jun_m1,05-21,05-22
0,2019,07-05,07-16,1.8773499200258323,4.44829840114748,W,100%,Low,High,pos_change,19_Jul_m1,07-05,07-18
0,2019,06-26,06-27,4.490232544606676,1.3050217509817048,L,90%,Low,High,pos_change,19_Jul_m1,06-26,06-27
0,2019,07-30,07-31,2.260018275379496,1.8019829938183207,L,100%,Low,High,pos_change,19_Aug_m1,07-28,08-16
0,2019,07-29,07-30,2.7016075009842053,1.3478213558283063,L,90%,Low,High,pos_change,19_Aug_m1,07-29,07-30
0,2019,08-29,09-06,2.2955116012085446,6.511841369733467,W,100%,Low,High,pos_change,19_Sep_m1,08-29,09-06
0,2019,08-20,08-21,2.7342836225078706,2.9425061749224324,W,90%,Low,High,pos_change,19_Sep_m1,08-19,08-22
0,2019,09-27,10-16,2.196251704073579,4.384171433612056,W,100%,Low,High,pos_change,19_Oct_m1,09-26,10-18
0,2019,10-30,11-05,5.016419915804518,4.896010244809189,L,100%,Low,High,pos_change,19_Nov_m1,10-27,11-09
0,2019,10-22,10-24,5.849577673714824,2.263824437562563,L,90%,Low,High,pos_change,19_Nov_m1,10-21,10-24
0,2019,11-29,12-02,2.215869140163444,1.3209194593339892,L,100%,Low,High,pos_change,19_Dec_m1,11-29,12-20
0,2019,11-20,11-21,4.586078885103598,1.1990391320420024,L,90%,Low,High,pos_change,19_Dec_m1,11-20,11-21
0,2020,01-03,01-10,2.1921721217471086,1.9325856412394664,L,100%,Low,High,pos_change,20_Jan_m1,01-01,01-13
0,2020,01-28,02-05,4.7166496296547935,15.228079992629922,W,100%,Low,High,pos_change,20_Feb_m1,01-28,02-17
0,2020,01-28,01-29,5.201317075836407,6.596594069135415,W,90%,Low,High,pos_change,20_Feb_m1,01-28,01-31
0,2020,02-27,03-03,2.073304188067257,8.542455935896069,W,100%,Low,High,pos_change,20_Mar_m1,02-24,03-04
0,2020,02-28,03-02,3.341996317606053,8.74772357120419,W,90%,Low,High,pos_change,20_Mar_m1,02-27,03-02
