,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-25,02-04,1.7777777777777777,5.443714613059157,W,100%,Low,High,pos_change,16_Feb_m1,01-23,02-18
0,2016,01-26,01-27,3.434813161360274,3.019186614803717,L,90%,Low,High,pos_change,16_Feb_m1,01-26,01-27
0,2016,02-24,03-03,1.8310903098921187,9.595205125489247,W,100%,Low,High,pos_change,16_Mar_m1,02-23,03-07
0,2016,02-24,02-26,2.5210084033613445,3.808097498862454,W,90%,Low,High,pos_change,16_Mar_m1,02-23,02-26
0,2016,03-24,04-04,1.7094017094017095,5.089817219526058,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-08
0,2016,03-22,03-23,3.792205414214692,1.1834282493207315,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-23
0,2016,04-29,05-10,2.3817651496311463,10.020450923300512,W,100%,Low,High,pos_change,16_May_m1,04-29,05-15
0,2016,04-18,04-20,4.3478260869565215,2.188974541943014,L,90%,Low,High,pos_change,16_May_m1,04-18,04-21
0,2016,06-02,06-03,1.7391304347826086,2.538220693947053,W,100%,Low,High,pos_change,16_Jun_m1,05-31,06-10
0,2016,06-27,07-01,1.7543859649122806,7.998836284360706,W,100%,Low,Open,pos_change,16_Jul_m1,06-26,07-01
0,2016,06-22,06-23,2.73972602739726,2.828576224190848,W,90%,Low,High,pos_change,16_Jul_m1,06-22,06-23
0,2016,07-27,08-01,2.2123893805309733,6.717474026573894,W,100%,Low,High,pos_change,16_Aug_m1,07-27,08-12
0,2016,08-30,09-07,1.851851851851852,3.833147203772034,W,100%,Low,High,pos_change,16_Sep_m1,08-30,09-12
0,2016,08-29,08-30,2.635130977177865,1.030350691887931,L,90%,Low,High,pos_change,16_Sep_m1,08-27,08-30
0,2016,09-23,09-27,1.8909908856738595,2.4606116931181887,W,100%,Low,High,pos_change,16_Oct_m1,09-23,10-01
0,2016,09-21,09-22,3.508771929824561,4.81237557295584,W,90%,Open,High,pos_change,16_Oct_m1,09-21,09-22
0,2016,10-25,11-08,2.5196826364111717,7.471792298057797,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-17
0,2016,11-22,11-29,1.758146881550377,4.483500248978058,W,100%,Low,High,pos_change,16_Dec_m1,11-21,11-29
0,2016,11-21,11-22,4.366812227074235,2.3023392150089914,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-13,01-18,0.976800057383481,1.8809713748835488,W,100%,Low,High,pos_change,17_Jan_m1,01-13,01-18
0,2017,01-09,01-10,1.5411730320545447,0.0,L,90%,Low,High,pos_change,17_Jan_m1,01-07,01-10
0,2017,02-01,02-10,1.6260162601626018,3.803720747756013,W,100%,Low,High,pos_change,17_Feb_m1,01-30,02-13
0,2017,01-26,01-27,3.434813161360274,0.6859041219115699,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-27
0,2017,02-23,03-01,1.8310903098921187,2.4608532142612933,W,100%,Low,High,pos_change,17_Mar_m1,02-23,03-07
0,2017,02-23,02-24,2.5210084033613445,1.3422913295959398,L,90%,Low,High,pos_change,17_Mar_m1,02-23,02-26
0,2017,03-22,03-24,3.2026980343136286,2.4839501651296443,L,100%,Low,High,pos_change,17_Apr_m1,03-20,04-02
0,2017,03-22,03-24,3.913736047943309,2.4839501651296443,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-24
0,2017,05-01,05-08,2.3817651496311463,2.446236098787121,W,100%,Low,High,pos_change,17_May_m1,04-29,05-15
0,2017,04-28,05-01,3.55029235195547,2.6894806488322063,L,90%,Low,High,pos_change,17_May_m1,04-28,05-01
0,2017,06-01,06-09,1.7391304347826086,5.223295774821883,W,100%,Low,High,pos_change,17_Jun_m1,05-31,06-10
0,2017,05-24,05-25,2.509160865573816,1.3378860192041793,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
