,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-28,02-01,4.0,7.730956696566503,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-19
0,2016,01-28,01-29,5.442110188435985,4.986511039980399,L,90%,Low,High,pos_change,16_Feb_m1,01-27,01-30
0,2016,03-01,03-03,1.25,9.07759725453498,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-16
0,2016,03-02,03-03,2.905239029886487,5.300353499782643,W,90%,Low,High,pos_change,16_Mar_m1,03-02,03-05
0,2016,03-28,03-30,3.792845354847634,7.666805377033778,W,100%,Low,High,pos_change,16_Apr_m1,03-28,04-15
0,2016,04-29,05-11,2.5356293924889157,4.992709975695238,W,100%,Low,High,pos_change,16_May_m1,04-28,05-14
0,2016,04-18,04-19,6.912442396313365,2.5450998224150325,L,90%,Open,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-23,06-03,2.7139440259671463,4.790148150167735,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-04
0,2016,05-24,05-25,5.543535621728343,3.1495571147795207,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-22,06-23,2.1333333333333333,4.315028157853419,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-03
0,2016,06-21,06-22,3.198151387387036,3.685650371569852,W,90%,Low,High,pos_change,16_Jul_m1,06-20,06-22
0,2016,08-02,08-04,2.5139664804469275,3.712652555635227,W,100%,Low,High,pos_change,16_Aug_m1,08-02,08-15
0,2016,07-27,07-28,3.668081912839925,3.795457111826543,W,90%,Low,High,pos_change,16_Aug_m1,07-25,07-28
0,2016,08-29,09-07,2.4482109227871938,3.691895884051128,W,100%,Low,High,pos_change,16_Sep_m1,08-27,09-10
0,2016,08-31,09-01,4.140129142490044,0.8777088321197071,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,10-07,10-18,1.4150943396226416,5.770518678054699,W,100%,Low,Open,pos_change,16_Oct_m1,10-07,10-21
0,2016,09-20,09-21,4.390474267897941,0.9726215416814686,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,11-01,11-08,3.550179336888349,8.57983757467831,W,100%,Close,High,pos_change,16_Nov_m1,10-29,11-11
0,2016,10-28,10-31,5.05050505050505,2.324010152567973,L,90%,Low,High,pos_change,16_Nov_m1,10-28,10-31
0,2016,11-23,12-02,3.3532934131736525,6.688878446620995,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-16
0,2016,11-25,11-28,4.516133232253778,0.5227899029741925,L,90%,Low,High,pos_change,16_Dec_m1,11-25,11-28
0,2017,01-04,01-17,2.3977126584681163,8.114720269518857,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-17
0,2017,01-09,01-10,3.497908553456217,4.054180019688942,W,90%,Low,High,pos_change,17_Jan_m1,01-07,01-10
0,2017,01-30,02-06,4.0,3.16159452563781,L,100%,Low,High,pos_change,17_Feb_m1,01-27,02-08
0,2017,01-26,01-27,5.28053223752058,0.6380727083215575,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-27
0,2017,02-24,03-01,2.2222222222222223,4.865829464163922,W,100%,Low,High,pos_change,17_Mar_m1,02-24,03-14
0,2017,03-24,03-27,4.26136166083098,7.712301539968555,W,100%,Low,High,pos_change,17_Apr_m1,03-24,04-19
0,2017,04-28,05-03,2.5356293924889157,6.18495423267103,W,100%,Low,High,pos_change,17_May_m1,04-28,05-09
0,2017,04-24,04-25,5.351170568561873,1.8544826979211604,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
