,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-11,01-12,0.4385969729084642,7.793566497222204,W,100%,Low,High,pos_change,16_Jan_m1,01-08,01-14
0,2016,01-04,01-07,4.682344869677574,5.1084298981218765,W,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2016,01-28,02-01,7.277780733850194,11.21299456743168,W,100%,Low,High,pos_change,16_Feb_m1,01-25,02-11
0,2016,03-04,03-16,3.690040764463352,6.662374364841235,W,100%,Low,High,pos_change,16_Mar_m1,03-04,03-18
0,2016,03-02,03-03,7.236276425187481,5.612244801862698,L,90%,Low,High,pos_change,16_Mar_m1,03-02,03-03
0,2016,03-24,03-28,3.4651045962383256,3.030781300322109,L,100%,Low,High,pos_change,16_Apr_m1,03-21,04-01
0,2016,03-21,03-22,4.703474133175837,2.955207223135302,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,05-06,05-11,4.330273587421823,2.887234721988436,L,100%,Low,High,pos_change,16_May_m1,05-05,05-17
0,2016,04-18,04-19,5.454551414401618,5.679867708133762,W,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-26,06-02,0.1807446464452169,6.017569279958937,W,100%,Low,High,pos_change,16_Jun_m1,05-26,06-07
0,2016,05-26,05-27,4.731850135224756,2.6537133772832666,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-22,06-23,1.9999938235472587,3.2746056003436297,W,100%,Low,Close,pos_change,16_Jul_m1,06-22,07-09
0,2016,06-28,06-29,4.778458106602066,4.195532946362622,L,90%,Low,High,pos_change,16_Jul_m1,06-28,06-29
0,2016,08-02,08-03,3.851644640962285,6.067631670818237,W,100%,Low,High,pos_change,16_Aug_m1,08-02,08-15
0,2016,07-28,07-29,5.810917169299244,3.336621077583785,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,09-06,09-08,2.2700181203567134,3.4149065082178653,W,100%,Low,High,pos_change,16_Sep_m1,09-03,09-09
0,2016,08-31,09-01,5.885585591582924,0.5992406625811239,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-29,10-21,3.642985045218882,9.263243791443928,W,100%,Low,High,pos_change,16_Oct_m1,09-27,10-21
0,2016,09-21,09-22,5.836582320314522,2.5995279927431296,L,90%,Low,High,pos_change,16_Oct_m1,09-21,09-24
0,2016,10-28,11-10,4.1908086312241535,9.988004322495833,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-12
0,2016,10-28,10-31,7.839987820703935,2.244305974409439,L,90%,Low,High,pos_change,16_Nov_m1,10-28,10-31
0,2016,11-21,11-22,2.2222279177406468,4.798857789969557,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-01
0,2016,11-28,11-29,4.183261407732397,1.11617525178441,L,90%,Low,High,pos_change,16_Dec_m1,11-28,11-29
0,2017,01-09,01-10,2.631574515908796,3.3766337920762,W,100%,Low,High,pos_change,17_Jan_m1,01-06,01-15
0,2017,01-03,01-04,4.7297331938366725,1.554339600726854,L,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,01-27,01-30,7.277780733850194,2.3834567367806243,L,100%,Low,High,pos_change,17_Feb_m1,01-25,02-11
0,2017,01-24,01-27,8.530313630050122,3.5816877922996726,L,90%,Low,High,pos_change,17_Feb_m1,01-24,01-27
0,2017,02-21,03-01,5.035976666147059,6.577136637999486,W,100%,Open,High,pos_change,17_Mar_m1,02-20,03-17
0,2017,02-21,02-22,8.400002296972657,1.5565455386261826,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,04-06,04-10,1.988641872975657,2.379850003578305,W,100%,Low,High,pos_change,17_Apr_m1,04-05,04-17
