,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.7744711083446083,3.703697103800153,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-10
0,2016,01-04,01-05,1.6856173600018158,3.703697103800153,W,90%,Low,High,pos_change,16_Jan_m1,01-03,01-06
0,2016,01-20,01-22,1.3051453392605126,11.721422870916996,W,100%,Low,High,pos_change,16_Feb_m1,01-19,01-26
0,2016,02-24,03-04,2.5238061779012053,10.864441350173752,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-09
0,2016,02-22,02-23,4.6083885702363165,1.6687809737663415,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-24,03-31,0.5747126436781609,2.633600384138985,W,100%,Low,High,pos_change,16_Apr_m1,03-23,03-31
0,2016,03-28,03-29,3.9676823235218,1.4925369886731887,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,05-09,05-11,2.090716395973426,3.418055721327167,W,100%,Low,High,pos_change,16_May_m1,05-09,05-17
0,2016,04-26,04-27,4.565214074176291,2.64105696386736,L,90%,Low,High,pos_change,16_May_m1,04-25,04-28
0,2016,06-06,06-08,1.5317152073088325,2.9414311406927878,W,100%,Low,High,pos_change,16_Jun_m1,06-04,06-17
0,2016,05-23,05-25,3.5616438356164384,3.89464109497489,W,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-27,07-07,2.5477608578549105,7.937486927605966,W,100%,Open,High,pos_change,16_Jul_m1,06-26,07-07
0,2016,06-21,06-24,2.8138594193892046,5.198297048742647,W,90%,Low,Close,pos_change,16_Jul_m1,06-21,06-24
0,2016,08-03,08-11,2.3324240529366795,5.650451307126179,W,100%,Low,High,pos_change,16_Aug_m1,08-03,08-16
0,2016,07-25,07-26,3.919428638892923,0.0,L,90%,Low,High,pos_change,16_Aug_m1,07-23,07-26
0,2016,09-09,09-12,2.667625832481375,5.024747612545327,W,100%,Low,Close,pos_change,16_Sep_m1,09-08,09-16
0,2016,09-01,09-02,3.006442245169168,3.5417402946664067,W,90%,Low,High,pos_change,16_Sep_m1,08-30,09-02
0,2016,09-27,09-28,3.4482758620689653,5.752014321055573,W,100%,Close,High,pos_change,16_Oct_m1,09-27,10-19
0,2016,09-27,09-28,5.58276656495884,5.752014321055573,W,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-28,11-10,3.1890607346706963,23.695276885010596,W,100%,Low,High,pos_change,16_Nov_m1,10-28,11-18
0,2016,10-31,11-01,7.299267024324187,3.9007037034081073,L,90%,Low,High,pos_change,16_Nov_m1,10-30,11-02
0,2016,11-23,11-28,1.0100948449337122,4.614162463052384,W,100%,Low,High,pos_change,16_Dec_m1,11-23,12-10
0,2016,11-30,12-01,3.0378862071761272,1.154186587071082,L,90%,Low,High,pos_change,16_Dec_m1,11-30,12-01
0,2017,01-03,01-05,1.7744711083446083,4.186905085033332,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-10
0,2017,01-03,01-05,2.986177371182184,4.186905085033332,W,90%,Low,High,pos_change,17_Jan_m1,01-02,01-05
0,2017,02-07,02-13,2.0602267562509957,7.172472334429643,W,100%,Low,Close,pos_change,17_Feb_m1,02-04,02-17
0,2017,01-23,01-24,3.581462339038994,4.082119251990598,W,90%,Low,High,pos_change,17_Feb_m1,01-23,01-24
0,2017,02-24,03-01,2.5238061779012053,9.815955063467404,W,100%,Low,High,pos_change,17_Mar_m1,02-24,03-09
0,2017,04-11,04-12,1.0060485597943472,1.7074596599532188,W,100%,Low,High,pos_change,17_Apr_m1,04-09,04-16
0,2017,03-29,03-30,4.758715389323295,5.812739655073289,W,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,04-27,05-01,2.1739130434782608,4.402934339490503,W,100%,Low,High,pos_change,17_May_m1,04-25,05-01
0,2017,04-27,04-28,5.63996510219288,2.309876846861279,L,90%,Low,High,pos_change,17_May_m1,04-25,04-28
0,2017,05-31,06-13,1.8163364411525276,7.007906211051497,W,100%,Low,High,pos_change,17_Jun_m1,05-31,06-14
0,2017,06-29,07-06,2.5477608578549105,3.2534507088853144,W,100%,Open,High,pos_change,17_Jul_m1,06-26,07-07
0,2017,06-29,06-30,3.3263466728236595,1.94413953570877,L,90%,Low,High,pos_change,17_Jul_m1,06-27,06-30
0,2017,08-03,08-07,2.3324240529366795,2.891766853612867,W,100%,Low,High,pos_change,17_Aug_m1,08-03,08-16
0,2017,08-04,08-07,3.685425672021888,2.8573799809383065,L,90%,Low,High,pos_change,17_Aug_m1,08-04,08-07
0,2017,09-01,09-08,2.293109110314441,1.987750608454275,L,100%,Low,High,pos_change,17_Sep_m1,09-01,09-13
0,2017,08-21,08-22,4.273504193884617,3.2566942188136627,L,90%,Low,High,pos_change,17_Sep_m1,08-21,08-22
0,2017,09-27,10-09,3.4482758620689653,4.411513746583666,W,100%,Close,High,pos_change,17_Oct_m1,09-27,10-19
0,2017,09-21,09-22,4.966331202898785,0.824741470694244,L,90%,Low,High,pos_change,17_Oct_m1,09-21,09-24
0,2017,10-26,11-02,3.8105499003045926,6.500703310138696,W,100%,Low,High,pos_change,17_Nov_m1,10-25,11-06
0,2017,11-27,12-04,1.7583033958290468,6.906149501911626,W,100%,Low,High,pos_change,17_Dec_m1,11-25,12-04
0,2017,11-21,11-22,3.898751302850138,1.3110442986874178,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-02,01-09,1.7744711083446083,5.148882633343126,W,100%,Low,High,pos_change,18_Jan_m1,01-02,01-10
0,2018,02-06,02-13,1.1624280242546674,7.5688455900401905,W,100%,Low,High,pos_change,18_Feb_m1,02-03,02-14
0,2018,01-23,01-24,3.581462339038994,3.915025449645129,W,90%,Low,High,pos_change,18_Feb_m1,01-23,01-24
0,2018,02-27,03-09,2.5238061779012053,2.73034289451869,W,100%,Low,High,pos_change,18_Mar_m1,02-24,03-09
0,2018,03-20,03-26,2.2094416525674507,4.514471469427989,W,100%,Low,High,pos_change,18_Apr_m1,03-20,03-31
0,2018,04-25,04-30,2.1739130434782608,4.7132811139347,W,100%,Low,High,pos_change,18_May_m1,04-25,05-01
0,2018,04-25,04-26,5.63996510219288,2.9446582693481558,L,90%,Low,High,pos_change,18_May_m1,04-25,04-28
0,2018,05-31,06-13,1.8163364411525276,4.526852292046887,W,100%,Low,High,pos_change,18_Jun_m1,05-31,06-14
0,2018,06-28,07-06,2.614686340006079,4.696705458430216,W,100%,Low,High,pos_change,18_Jul_m1,06-26,07-07
0,2018,06-28,06-29,3.5410177552957425,3.542433116017264,W,90%,Low,High,pos_change,18_Jul_m1,06-27,06-30
0,2018,08-06,08-07,2.647058823529412,3.4261047721345,W,100%,Low,High,pos_change,18_Aug_m1,08-04,08-16
0,2018,07-31,08-01,3.653444560026848,3.3939472280530936,L,90%,Low,High,pos_change,18_Aug_m1,07-29,08-01
0,2018,09-10,09-17,2.667625832481375,6.022619681005015,W,100%,Low,Close,pos_change,18_Sep_m1,09-07,09-17
0,2018,08-20,08-22,4.550235458724364,3.474129774344155,L,90%,Open,High,pos_change,18_Sep_m1,08-20,08-22
0,2018,09-28,10-04,3.0940517352245167,3.776488170707188,W,100%,Low,Close,pos_change,18_Oct_m1,09-27,10-16
0,2018,09-26,09-27,5.741711970912967,3.936021684812761,L,90%,Low,High,pos_change,18_Oct_m1,09-24,09-27
0,2018,10-26,11-06,3.8105499003045926,22.720415867156184,W,100%,Low,High,pos_change,18_Nov_m1,10-25,11-06
0,2018,12-04,12-07,2.3983116377911204,5.486410554104623,W,100%,Low,High,pos_change,18_Dec_m1,12-01,12-19
0,2019,01-03,01-09,2.986177371182184,10.33470397212017,W,100%,Low,High,pos_change,19_Jan_m1,01-02,01-16
0,2019,01-02,01-03,3.0080365522463914,2.4327106741628497,L,90%,Low,High,pos_change,19_Jan_m1,01-01,01-03
0,2019,02-06,02-14,1.1624280242546674,13.460588001379342,W,100%,Low,High,pos_change,19_Feb_m1,02-03,02-14
0,2019,01-23,01-24,3.581462339038994,3.3966190781373724,L,90%,Low,High,pos_change,19_Feb_m1,01-23,01-24
0,2019,02-26,03-05,2.5238061779012053,4.102791126924848,W,100%,Low,High,pos_change,19_Mar_m1,02-24,03-09
0,2019,03-22,03-29,2.2094416525674507,5.866785721569433,W,100%,Low,High,pos_change,19_Apr_m1,03-20,03-31
