,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-08,1.891962170588821,5.023410454288312,W,100%,Low,High,pos_change,16_Jan_m1,01-07,01-13
0,2016,01-07,01-08,3.4054841362545947,5.023410454288312,W,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,01-28,02-01,2.656255494803284,5.338026874546252,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-06
0,2016,02-24,03-09,2.1054981946555853,6.661525565472169,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-16
0,2016,03-03,03-04,3.1523642732049035,2.246897058207613,L,90%,Low,High,pos_change,16_Mar_m1,03-02,03-05
0,2016,03-29,04-01,2.746045666585238,5.97997772820213,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-10
0,2016,03-29,04-01,3.34100667571998,5.97997772820213,W,90%,Low,High,pos_change,16_Apr_m1,03-29,04-01
0,2016,05-09,05-10,2.617924214998176,2.329972844544748,L,100%,Low,High,pos_change,16_May_m1,05-08,05-19
0,2016,04-29,05-02,3.8667237955909095,3.206441205124676,L,90%,Low,High,pos_change,16_May_m1,04-29,05-02
0,2016,06-06,06-15,1.866605256380131,8.26424617382136,W,100%,Open,High,pos_change,16_Jun_m1,06-05,06-15
0,2016,05-26,05-27,3.5730733031258795,0.7688350061366223,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-24,07-05,2.820099680110272,4.257670209451687,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-12
0,2016,07-21,08-12,2.62097002905438,2.294763523872216,L,100%,Low,High,pos_change,16_Aug_m1,07-18,08-13
0,2016,07-28,07-29,3.830972150633608,0.6705450065256225,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,08-29,09-02,3.1641868235926616,3.186552433447626,W,100%,Low,High,pos_change,16_Sep_m1,08-28,09-06
0,2016,09-01,09-02,4.230544611377459,2.05981354701824,L,90%,Low,High,pos_change,16_Sep_m1,09-01,09-03
0,2016,09-22,09-23,3.701636529532212,2.063764467046427,L,100%,Low,High,pos_change,16_Oct_m1,09-22,10-09
0,2016,09-22,09-23,5.600754789219641,2.063764467046427,L,90%,Low,High,pos_change,16_Oct_m1,09-22,09-25
0,2016,10-24,10-25,1.8259612085004733,2.0470680699465267,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-02
0,2016,11-02,11-03,4.398439537198775,1.451772050809065,L,90%,Low,High,pos_change,16_Nov_m1,11-02,11-03
0,2016,12-07,12-14,3.197896087050688,4.712040744089284,W,100%,Low,High,pos_change,16_Dec_m1,12-04,12-16
0,2016,12-06,12-07,3.683836625078825,0.889785255491485,L,90%,Low,High,pos_change,16_Dec_m1,12-04,12-07
0,2017,01-09,01-11,3.6075034486403057,4.0390546812086,W,100%,Low,High,pos_change,17_Jan_m1,01-06,01-19
0,2017,01-09,01-10,3.786297554012526,1.769377219809428,L,90%,Low,High,pos_change,17_Jan_m1,01-07,01-10
0,2017,01-27,01-30,2.656255494803284,1.845436626934409,L,100%,Low,High,pos_change,17_Feb_m1,01-26,02-06
0,2017,02-24,02-27,2.1054981946555853,0.9800512408871492,L,100%,Low,High,pos_change,17_Mar_m1,02-24,03-16
0,2017,02-21,02-22,3.4788381512657183,0.7917106880987308,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,03-31,04-03,2.746045666585238,0.8671579324202686,L,100%,Low,High,pos_change,17_Apr_m1,03-29,04-10
0,2017,03-21,03-22,3.834808259587021,1.3048228523096823,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-23
0,2017,04-26,04-28,1.710351954540875,4.961972667748919,W,100%,Close,High,pos_change,17_May_m1,04-26,05-18
0,2017,05-01,05-02,3.8667237955909095,0.637241417350787,L,90%,Low,High,pos_change,17_May_m1,04-29,05-02
0,2017,06-07,06-14,1.866605256380131,2.8606780911377707,W,100%,Open,High,pos_change,17_Jun_m1,06-05,06-15
0,2017,05-30,06-01,2.725173962972768,2.5957842285661186,L,90%,Low,High,pos_change,17_Jun_m1,05-29,06-01
0,2017,06-26,06-29,3.049812306166747,6.754815687050004,W,100%,Low,High,pos_change,17_Jul_m1,06-24,07-21
0,2017,07-27,08-03,1.8908601599810388,4.594911165350264,W,100%,Low,High,pos_change,17_Aug_m1,07-27,08-04
0,2017,07-27,07-28,3.830972150633608,2.2142626619098094,L,90%,Low,High,pos_change,17_Aug_m1,07-27,07-30
0,2017,08-29,09-05,3.1641868235926616,1.7943381035067456,L,100%,Low,High,pos_change,17_Sep_m1,08-28,09-05
0,2017,09-29,10-02,3.282631543474832,1.148521563394521,L,100%,Low,High,pos_change,17_Oct_m1,09-26,10-17
0,2017,10-25,10-26,1.8259612085004733,6.373957441264061,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-04
0,2017,11-02,11-03,4.226045271458558,1.870283268013598,L,90%,Low,High,pos_change,17_Nov_m1,11-02,11-03
0,2017,12-07,12-11,2.990855713383238,4.230219340152877,W,100%,Low,High,pos_change,17_Dec_m1,12-04,12-15
0,2017,12-04,12-05,3.683836625078825,1.7185045043873624,L,90%,Low,High,pos_change,17_Dec_m1,12-02,12-05
0,2018,01-08,01-12,3.6075034486403057,5.690720810513316,W,100%,Low,High,pos_change,18_Jan_m1,01-06,01-19
0,2018,01-08,01-09,3.786297554012526,1.979384799183849,L,90%,Low,High,pos_change,18_Jan_m1,01-07,01-10
0,2018,01-26,01-29,2.656255494803284,3.3961317023396025,W,100%,Low,High,pos_change,18_Feb_m1,01-26,02-10
0,2018,02-27,03-12,1.90102920856426,3.8972384844421497,W,100%,Low,High,pos_change,18_Mar_m1,02-25,03-15
0,2018,03-23,04-16,2.556027295394064,4.268667211556712,W,100%,Low,High,pos_change,18_Apr_m1,03-20,04-20
0,2018,04-26,04-27,1.710351954540875,3.1140746853150096,W,100%,Close,High,pos_change,18_May_m1,04-26,05-18
0,2018,05-01,05-02,3.463410168159299,1.5008529505265085,L,90%,Low,High,pos_change,18_May_m1,04-30,05-03
0,2018,06-05,06-15,1.866605256380131,5.41319849848527,W,100%,Open,High,pos_change,18_Jun_m1,06-05,06-15
0,2018,05-21,05-22,2.7522926382486363,2.427633841789443,L,90%,Low,High,pos_change,18_Jun_m1,05-21,05-23
0,2018,06-25,06-26,2.820099680110272,1.6428093328597395,L,100%,Low,High,pos_change,18_Jul_m1,06-22,07-12
0,2018,06-27,06-28,4.554524078152342,0.0,L,90%,Low,High,pos_change,18_Jul_m1,06-27,06-28
0,2018,07-27,07-30,1.8908601599810388,2.9921442440339345,W,100%,Low,High,pos_change,18_Aug_m1,07-27,08-04
0,2018,07-27,07-30,3.830972150633608,2.9921442440339345,L,90%,Low,High,pos_change,18_Aug_m1,07-27,07-30
0,2018,08-31,09-12,3.1641868235926616,4.382586681002187,W,100%,Low,High,pos_change,18_Sep_m1,08-28,09-12
0,2018,09-24,09-27,1.1795343151765936,3.915827027512068,W,100%,Low,High,pos_change,18_Oct_m1,09-24,10-04
