,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-11,2.761587976879587,2.628214277508604,L,100%,Low,High,pos_change,16_Jan_m1,01-07,01-14
0,2016,01-25,02-04,4.130174986709505,21.002841354062383,W,100%,Low,High,pos_change,16_Feb_m1,01-24,02-19
0,2016,02-03,02-04,6.996960427365455,10.092529596533591,W,90%,Low,High,pos_change,16_Feb_m1,02-02,02-05
0,2016,03-04,03-07,0.8823544536357666,7.506818901541533,W,100%,Low,High,pos_change,16_Mar_m1,03-04,03-16
0,2016,02-24,02-25,3.9992469425977664,6.44539772116344,W,90%,Low,High,pos_change,16_Mar_m1,02-23,02-25
0,2016,03-31,04-04,3.177450657074731,3.092783160107253,L,100%,Low,High,pos_change,16_Apr_m1,03-31,04-13
0,2016,03-21,03-22,8.360901088339636,6.55670166015625,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,05-06,05-18,3.1161465434484645,6.190347889589111,W,100%,Low,High,pos_change,16_May_m1,05-04,05-19
0,2016,04-18,04-20,8.910886975623141,9.551127124172872,W,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,06-06,06-07,2.56945643474966,5.278658625664433,W,100%,Low,High,pos_change,16_Jun_m1,06-06,06-13
0,2016,07-06,07-14,2.11180213995034,21.438414334145563,W,100%,Low,High,pos_change,16_Jul_m1,07-05,07-14
0,2016,07-22,07-27,4.171309999605283,7.127431860129666,W,100%,Low,High,pos_change,16_Aug_m1,07-22,08-18
0,2016,07-18,07-19,5.118514790370531,2.033229852992087,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-24,09-09,2.206550359906095,20.243093585441127,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-11
0,2016,09-06,09-07,6.934989880422819,15.69506339256011,W,90%,Low,High,pos_change,16_Sep_m1,09-06,09-07
0,2016,09-29,10-03,2.274521989998653,5.037348517025662,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-16
0,2016,10-04,10-05,6.826138377814396,2.489692490476521,L,90%,Low,High,pos_change,16_Oct_m1,10-04,10-05
0,2016,10-25,10-27,2.8148614233138454,16.682358328997417,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-04
0,2016,10-24,10-25,10.925372678842118,2.4078231432861577,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-25,12-07,4.750204110515935,14.73788105703463,W,100%,Close,High,pos_change,16_Dec_m1,11-25,12-09
0,2016,11-21,11-22,7.4074074074074066,1.6757030978513423,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-04,01-11,2.691928862930184,4.327813622949744,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-13
0,2017,01-03,01-04,6.5175106390814825,4.374453076554931,L,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,02-08,02-13,3.333327522414679,3.3228247958731125,L,100%,Low,High,pos_change,17_Feb_m1,02-08,02-15
0,2017,02-02,02-03,6.896551960383053,1.3324814488568204,L,90%,Low,High,pos_change,17_Feb_m1,02-02,02-05
0,2017,02-24,03-02,1.870713632402104,8.79725295653458,W,100%,Low,High,pos_change,17_Mar_m1,02-21,03-02
0,2017,02-23,02-24,3.9992469425977664,0.4845230088359269,L,90%,Low,High,pos_change,17_Mar_m1,02-23,02-25
0,2017,03-30,04-11,4.914004821889726,8.776264944630306,W,100%,Low,High,pos_change,17_Apr_m1,03-30,04-19
0,2017,04-04,04-07,7.262442447857334,4.748469627708014,L,90%,Low,High,pos_change,17_Apr_m1,04-04,04-07
0,2017,05-04,05-05,3.1161465434484645,2.4847491817185783,L,100%,Low,High,pos_change,17_May_m1,05-04,05-19
0,2017,05-03,05-05,4.759354830681507,4.925987906422057,W,90%,Low,High,pos_change,17_May_m1,05-03,05-06
0,2017,06-09,06-13,2.56945643474966,7.411803875540193,W,100%,Low,High,pos_change,17_Jun_m1,06-06,06-13
