,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.1696156851229285,4.950909716980506,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-07
0,2016,02-02,02-05,3.2098765432098766,7.391659648303278,W,100%,Low,High,pos_change,16_Feb_m1,01-30,02-10
0,2016,01-19,01-20,5.075058193904643,4.976549877310433,L,90%,Low,High,pos_change,16_Feb_m1,01-18,01-20
0,2016,03-03,03-16,1.6346946319338806,12.323489455814594,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-16
0,2016,02-25,02-26,3.855714616371076,4.586356375928943,W,90%,Low,High,pos_change,16_Mar_m1,02-25,02-26
0,2016,03-29,04-11,2.1447721179624666,6.790978029924825,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-11
0,2016,03-28,03-29,5.026018220695865,1.3047738684948118,L,90%,Low,High,pos_change,16_Apr_m1,03-26,03-29
0,2016,04-22,04-25,4.324801412180053,1.1917550114080502,L,100%,Low,High,pos_change,16_May_m1,04-22,05-20
0,2016,04-18,04-19,4.496506123548418,3.79604420115684,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-06,06-08,1.991386914677009,4.885674351031114,W,100%,Low,High,pos_change,16_Jun_m1,06-04,06-17
0,2016,05-25,05-26,4.264392324093817,0.9332394781685656,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-30,07-08,2.542588587189943,6.70539908981006,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-08
0,2016,06-23,06-24,3.252252802118525,0.0,L,90%,Close,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-26,08-01,2.1706238018611685,3.200767872103959,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-08
0,2016,08-22,08-23,2.613190896918692,2.9827736330889065,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-12
0,2016,08-25,08-26,3.4182347253803487,1.4537154438855333,L,90%,Low,High,pos_change,16_Sep_m1,08-25,08-28
0,2016,09-20,10-21,2.095928058718067,4.888751427492923,W,100%,Low,High,pos_change,16_Oct_m1,09-20,10-21
0,2016,09-23,09-26,3.863377284751481,0.0061763109526455,L,90%,Low,High,pos_change,16_Oct_m1,09-23,09-26
0,2016,10-27,11-07,2.6737967914438503,6.956338593472447,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-07
0,2016,10-27,10-28,5.687626745757882,4.722088422123497,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-29
0,2016,11-23,12-05,2.60475651189128,5.249842187792103,W,100%,Open,High,pos_change,16_Dec_m1,11-23,12-05
0,2017,01-03,01-05,2.1696156851229285,3.468583176570136,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-07
0,2017,01-04,01-05,3.4722222222222223,2.710822223308211,L,90%,Low,High,pos_change,17_Jan_m1,01-04,01-07
0,2017,01-30,02-01,3.2098765432098766,4.042551100035162,W,100%,Low,High,pos_change,17_Feb_m1,01-30,02-10
0,2017,02-08,02-10,4.477611940298507,2.4887506878578747,L,90%,Open,High,pos_change,17_Feb_m1,02-07,02-10
0,2017,03-06,03-15,1.6346946319338806,2.726286847303412,W,100%,Low,High,pos_change,17_Mar_m1,03-03,03-16
