,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-03,02-19,1.97175875113983,9.13821634406312,W,100%,Low,High,pos_change,16_Feb_m1,02-02,02-19
0,2016,02-25,03-14,1.7647062594856535,3.707991779614819,W,100%,Low,Open,pos_change,16_Mar_m1,02-25,03-14
0,2016,03-01,03-02,3.4368941007005223,2.7110796716228185,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-24,04-01,1.612890414840699,6.030615080367711,W,100%,Low,Open,pos_change,16_Apr_m1,03-22,04-01
0,2016,04-21,04-27,1.5448446498976651,3.859400438624548,W,100%,Low,High,pos_change,16_May_m1,04-19,05-09
0,2016,06-07,06-09,0.7948767157452032,0.8027093469100084,W,100%,Low,High,pos_change,16_Jun_m1,06-06,06-17
0,2016,05-23,05-24,2.4926626858922,2.074688025667138,L,90%,Low,Close,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-27,07-01,2.384887252599944,9.835464507729364,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-12
0,2016,07-28,08-09,3.202865941899751,2.5342873321290647,L,100%,Low,High,pos_change,16_Aug_m1,07-25,08-18
0,2016,07-22,07-25,3.835620819281007,1.0282717107749602,L,90%,Low,High,pos_change,16_Aug_m1,07-22,07-25
0,2016,08-26,08-31,1.6242426091974431,3.26480815331722,W,100%,Open,High,pos_change,16_Sep_m1,08-26,09-16
0,2016,08-31,09-01,3.5196116511123208,1.086955465418649,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-21,10-18,3.468897053071086,2.7550129262362937,L,100%,Low,High,pos_change,16_Oct_m1,09-21,10-21
0,2016,09-22,09-23,4.4741199723669,0.6369408556749074,L,90%,Low,High,pos_change,16_Oct_m1,09-22,09-25
0,2016,11-09,11-18,1.1991324807143884,8.1701604790385,W,100%,Low,High,pos_change,16_Nov_m1,11-09,11-18
0,2016,10-24,10-25,2.9268277173662494,0.3225777672679908,L,90%,Close,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-21,12-16,2.0430913416645926,11.201591559863704,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-16
0,2017,01-03,01-04,0.6129978364025706,2.5850413691390117,W,100%,Low,High,pos_change,17_Jan_m1,01-01,01-11
0,2017,02-01,02-13,3.294567583014573,3.466987184048654,W,100%,Low,High,pos_change,17_Feb_m1,01-30,02-13
0,2017,01-31,02-01,4.699735704250151,2.2088643815857263,L,90%,Open,High,pos_change,17_Feb_m1,01-31,02-01
0,2017,02-22,03-01,2.0826363774316894,3.170768537582363,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-12
0,2017,03-01,03-02,3.4368941007005223,0.5865076863270595,L,90%,Low,High,pos_change,17_Mar_m1,03-01,03-02
0,2017,03-27,03-28,2.006050155277196,2.6726384698710564,W,100%,Low,High,pos_change,17_Apr_m1,03-27,04-14
0,2017,03-22,03-23,4.414949927679449,1.201920898542432,L,90%,Low,High,pos_change,17_Apr_m1,03-22,03-23
0,2017,05-09,05-17,1.252366833983328,1.6126628450050708,W,100%,Low,High,pos_change,17_May_m1,05-07,05-17
