,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-06,01-07,1.2753818371153978,2.2816446146332883,W,100%,Low,Open,pos_change,16_Jan_m1,01-03,01-11
0,2016,01-28,02-01,2.5773195876288657,4.850473814753599,W,100%,Low,High,pos_change,16_Feb_m1,01-25,02-14
0,2016,01-19,01-20,4.821428571428572,4.4250894677680455,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,03-02,03-14,1.5706833121505566,3.8504203480822063,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-16
0,2016,03-03,03-04,2.7777777777777777,1.857981658098964,L,90%,Low,High,pos_change,16_Mar_m1,03-03,03-06
0,2016,03-28,04-13,1.9230769230769231,9.252183985668545,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-13
0,2016,03-30,03-31,3.249014051328223,2.323179167816049,L,90%,Low,High,pos_change,16_Apr_m1,03-30,03-31
0,2016,04-19,04-28,1.543741917078426,3.118855312145454,W,100%,Low,Open,pos_change,16_May_m1,04-19,05-08
0,2016,04-18,04-20,3.1390134529147984,2.4946767267249403,L,90%,Low,Open,pos_change,16_May_m1,04-18,04-20
0,2016,05-27,06-09,1.9366869660178676,5.36949028403072,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-15
0,2016,05-25,05-26,4.304937330337912,1.2841563942562746,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-13,2.433631282712005,10.908319917003158,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-13
0,2016,08-08,08-10,1.3831807074145737,2.026865108089416,W,100%,Low,High,pos_change,16_Aug_m1,08-06,08-17
0,2016,07-28,07-29,3.426124197002141,5.349948062459784,W,90%,Low,High,pos_change,16_Aug_m1,07-28,07-29
0,2016,09-06,09-07,1.3000687029476996,1.4435277484474829,W,100%,Low,High,pos_change,16_Sep_m1,09-05,09-12
0,2016,09-01,09-02,3.46645869332681,3.255530069046019,L,90%,Open,High,pos_change,16_Sep_m1,09-01,09-02
0,2016,09-26,10-10,1.4925373134328357,7.595108490456402,W,100%,Close,High,pos_change,16_Oct_m1,09-24,10-15
0,2016,09-21,09-22,3.679460713741065,1.6493189138432305,L,90%,Low,High,pos_change,16_Oct_m1,09-19,09-22
0,2016,10-31,11-18,3.1135941001532923,10.816375599401852,W,100%,Low,High,pos_change,16_Nov_m1,10-31,11-18
0,2016,10-27,10-28,4.694835680751173,3.556816269207688,L,90%,High,High,pos_change,16_Nov_m1,10-27,10-29
0,2016,11-23,12-09,1.5810276679841897,6.664999761551489,W,100%,Low,High,pos_change,16_Dec_m1,11-23,12-10
0,2016,11-21,11-22,4.933228239407456,1.1028916447182533,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-03,01-10,1.4055204093263691,5.420249283355213,W,100%,Low,High,pos_change,17_Jan_m1,01-03,01-19
0,2017,01-26,02-15,3.153153153153153,5.013222113063444,W,100%,Low,High,pos_change,17_Feb_m1,01-25,02-17
0,2017,01-30,01-31,3.619909502262444,2.5523172336831825,L,90%,Open,High,pos_change,17_Feb_m1,01-30,01-31
0,2017,03-03,03-15,1.5706833121505566,1.7872432866186645,W,100%,Low,High,pos_change,17_Mar_m1,03-02,03-16
0,2017,03-27,04-03,2.307692307692308,3.0492408694916784,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-16
0,2017,03-29,03-30,4.10958904109589,1.0222862134523916,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,05-01,05-08,1.0638297872340423,5.299169374387967,W,100%,Low,High,pos_change,17_May_m1,04-29,05-13
0,2017,04-25,04-26,3.1670433252527608,1.8783363000633968,L,90%,Low,High,pos_change,17_May_m1,04-25,04-26
0,2017,05-30,06-05,1.9366869660178676,3.2661536559270026,W,100%,Low,High,pos_change,17_Jun_m1,05-27,06-15
0,2017,05-25,05-26,4.304937330337912,2.0671495574230803,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-29,07-07,2.8777020372816686,2.456735051150436,L,100%,Low,High,pos_change,17_Jul_m1,06-28,07-07
0,2017,06-23,06-26,5.652173913043479,0.7703576014695203,L,90%,Low,High,pos_change,17_Jul_m1,06-23,06-26
0,2017,08-08,08-09,1.3831807074145737,1.4839876325003285,W,100%,Low,High,pos_change,17_Aug_m1,08-06,08-17
0,2017,09-05,09-11,1.3000687029476996,6.446412221785534,W,100%,Low,High,pos_change,17_Sep_m1,09-05,09-12
0,2017,09-25,10-02,1.4925373134328357,3.435442961347727,W,100%,Close,High,pos_change,17_Oct_m1,09-24,10-15
0,2017,09-21,09-22,3.609568912914954,1.6421421791139097,L,90%,Low,High,pos_change,17_Oct_m1,09-19,09-22
0,2017,11-03,11-13,2.515723270440252,2.3237253699079674,L,100%,Low,Open,pos_change,17_Nov_m1,11-03,11-15
0,2017,10-23,10-24,6.329113720306727,0.6598881374307791,L,90%,Open,High,pos_change,17_Nov_m1,10-23,10-24
0,2017,11-24,11-30,1.5810276679841897,4.288663569184923,W,100%,Low,High,pos_change,17_Dec_m1,11-23,12-10
0,2017,11-21,11-22,4.933228239407456,1.2076048254748215,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-04,01-09,1.4055204093263691,3.743049706374431,W,100%,Low,High,pos_change,18_Jan_m1,01-03,01-19
0,2018,01-02,01-03,2.5389491290802093,1.5747262490624092,L,90%,Low,High,pos_change,18_Jan_m1,01-01,01-03
0,2018,01-26,01-29,2.9938434375309195,2.8000030517578125,L,100%,Low,High,pos_change,18_Feb_m1,01-25,02-14
0,2018,01-30,01-31,4.081632653061225,2.2747667394337685,L,90%,Low,High,pos_change,18_Feb_m1,01-30,01-31
0,2018,03-01,03-09,1.978380680232007,9.17852335658226,W,100%,Low,High,pos_change,18_Mar_m1,02-26,03-16
0,2018,02-20,02-21,3.3122180958789658,4.4080308486006325,W,90%,Low,High,pos_change,18_Mar_m1,02-20,02-21
0,2018,03-26,04-16,2.307692307692308,5.734051899207538,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-16
0,2018,03-26,03-27,3.6841447883166754,3.3771164681485297,L,90%,Open,High,pos_change,18_Apr_m1,03-24,03-27
0,2018,05-02,05-11,1.0638297872340423,5.403511984306469,W,100%,Low,High,pos_change,18_May_m1,04-29,05-13
0,2018,04-25,04-26,3.1670433252527608,5.362154262973292,W,90%,Low,High,pos_change,18_May_m1,04-25,04-26
0,2018,05-23,06-14,2.621183239631266,11.758792205970984,W,100%,Low,Close,pos_change,18_Jun_m1,05-21,06-14
0,2018,06-28,07-06,2.456735051150436,4.002885836378965,W,100%,Low,High,pos_change,18_Jul_m1,06-28,07-07
0,2018,06-26,06-27,5.595664961620979,1.7811704834605595,L,90%,Low,High,pos_change,18_Jul_m1,06-24,06-27
0,2018,08-06,08-14,1.3831807074145737,3.3438629778448923,W,100%,Low,High,pos_change,18_Aug_m1,08-06,08-17
0,2018,08-08,08-09,1.8539958898074096,1.33379722038894,L,90%,Low,High,pos_change,18_Aug_m1,08-07,08-10
0,2018,09-07,09-20,1.584908347459709,5.527202971986046,W,100%,Low,High,pos_change,18_Sep_m1,09-06,09-20
0,2018,09-25,10-01,1.4925373134328357,3.2266017683347386,W,100%,Close,High,pos_change,18_Oct_m1,09-24,10-07
0,2018,09-25,09-26,3.435442961347727,2.2363418696549617,L,90%,Low,High,pos_change,18_Oct_m1,09-25,09-26
0,2018,10-25,11-08,3.665915549000697,10.663130132290734,W,100%,Low,High,pos_change,18_Nov_m1,10-22,11-14
0,2018,10-23,10-24,5.781584582441114,5.636481883414733,L,90%,Low,High,pos_change,18_Nov_m1,10-23,10-24
0,2018,11-20,11-30,1.981981981981982,6.9904975054675855,W,100%,Open,High,pos_change,18_Dec_m1,11-19,11-30
0,2019,01-03,01-09,1.2753818371153978,12.27975943309698,W,100%,Low,Open,pos_change,19_Jan_m1,01-03,01-11
0,2019,01-02,01-03,2.5389491290802093,2.4625832898522897,L,90%,Low,High,pos_change,19_Jan_m1,01-01,01-03
0,2019,01-29,02-01,2.4361163314986176,3.772865014304752,W,100%,Open,High,pos_change,19_Feb_m1,01-26,02-14
0,2019,01-30,01-31,3.4834310235023582,3.617448732425976,W,90%,Low,High,pos_change,19_Feb_m1,01-30,01-31
0,2019,02-27,03-01,1.748251724933388,3.833087657705614,W,100%,Low,High,pos_change,19_Mar_m1,02-24,03-11
0,2019,02-19,02-20,5.14665368501451,1.377954278449626,L,90%,Low,High,pos_change,19_Mar_m1,02-19,02-20
0,2019,03-27,04-16,2.307692307692308,12.088222693517842,W,100%,Low,High,pos_change,19_Apr_m1,03-26,04-16
0,2019,05-07,05-08,1.7013232514177694,1.3466293234344426,L,100%,Low,High,pos_change,19_May_m1,05-04,05-10
0,2019,04-23,04-26,3.1670433252527608,10.478052569400456,W,90%,Low,High,pos_change,19_May_m1,04-23,04-26
0,2019,05-23,06-13,3.3220123658690723,6.615999086950322,W,100%,Low,High,pos_change,19_Jun_m1,05-21,06-21
0,2019,06-28,07-01,2.456735051150436,2.840950562636185,W,100%,Low,High,pos_change,19_Jul_m1,06-28,07-07
0,2019,06-26,06-27,5.245117184243404,3.088834456431527,L,90%,Low,High,pos_change,19_Jul_m1,06-26,06-27
0,2019,08-05,08-09,1.1214924749926989,9.133391601134557,W,100%,Low,High,pos_change,19_Aug_m1,08-03,08-11
0,2019,08-12,08-13,1.6181229773462782,2.384315049228864,W,90%,Low,High,pos_change,19_Aug_m1,08-10,08-13
0,2019,09-09,09-13,1.584908347459709,1.5679967857151516,L,100%,Low,High,pos_change,19_Sep_m1,09-06,09-20
0,2019,09-27,10-01,1.4925373134328357,2.2891013418442188,W,100%,Close,High,pos_change,19_Oct_m1,09-24,10-06
0,2019,09-25,09-26,3.433241445671192,1.7259459228347336,L,90%,Low,High,pos_change,19_Oct_m1,09-25,09-26
0,2019,10-24,11-14,3.665915549000697,8.904816525275395,W,100%,Low,High,pos_change,19_Nov_m1,10-22,11-14
0,2019,10-23,10-24,5.48522867177879,4.536609319736411,L,90%,Low,High,pos_change,19_Nov_m1,10-23,10-24
0,2019,11-21,11-29,2.846688729547584,2.534835977602606,L,100%,Low,High,pos_change,19_Dec_m1,11-18,12-10
0,2019,11-21,11-22,5.276069398468286,0.3805727764941429,L,90%,Low,High,pos_change,19_Dec_m1,11-21,11-22
0,2020,01-03,01-10,1.2753818371153978,3.314949324445643,W,100%,Low,Open,pos_change,20_Jan_m1,01-03,01-11
0,2020,01-02,01-03,2.3890780881246143,1.994775915197944,L,90%,Low,High,pos_change,20_Jan_m1,01-01,01-03
0,2020,01-27,02-19,2.725721385563016,15.554682116556066,W,100%,Low,High,pos_change,20_Feb_m1,01-26,02-21
0,2020,02-28,03-03,2.1052644963850056,8.362130328271267,W,100%,Low,High,pos_change,20_Mar_m1,02-26,03-17
0,2020,02-25,02-26,2.9124107834638964,1.4043724629385783,L,90%,Low,High,pos_change,20_Mar_m1,02-25,02-26
0,2020,03-23,04-07,2.9770649934871813,34.77074076624535,W,100%,Low,High,pos_change,20_Apr_m1,03-23,04-07
0,2020,05-08,05-15,1.7710678108672506,8.63610914679936,W,100%,Low,High,pos_change,20_May_m1,05-08,05-15
0,2020,05-04,05-05,2.6322148191362755,5.390210721892123,W,90%,Low,High,pos_change,20_May_m1,05-02,05-05
0,2020,05-21,05-29,2.621183239631266,4.603907102520108,W,100%,Low,High,pos_change,20_Jun_m1,05-20,06-14
0,2020,06-29,07-06,2.456735051150436,9.25130446052663,W,100%,Low,High,pos_change,20_Jul_m1,06-28,07-07
0,2020,07-30,08-03,1.5730339486616056,4.963953460923819,W,100%,Low,High,pos_change,20_Aug_m1,07-30,08-14
0,2020,07-28,07-29,3.473397528228727,3.0791382125431173,L,90%,Low,High,pos_change,20_Aug_m1,07-28,07-29
0,2020,09-08,09-11,1.3000687029476996,8.020163733282647,W,100%,Low,High,pos_change,20_Sep_m1,09-05,09-12
0,2020,08-27,08-28,3.518466144682385,2.073748474743749,L,90%,Low,High,pos_change,20_Sep_m1,08-26,08-29
0,2020,09-24,10-13,3.406082042057369,15.73321999197942,W,100%,Low,High,pos_change,20_Oct_m1,09-21,10-14
0,2020,09-21,09-22,3.700150635392386,3.059181334938124,L,90%,Low,High,pos_change,20_Oct_m1,09-21,09-23
0,2020,10-23,11-09,3.665915549000697,9.99314457830132,W,100%,Low,High,pos_change,20_Nov_m1,10-22,11-14
0,2020,10-22,10-23,7.109944481379473,1.6499501411296735,L,90%,Low,High,pos_change,20_Nov_m1,10-22,10-25
0,2020,11-25,11-30,3.37349464038856,6.225858741727166,W,100%,Low,High,pos_change,20_Dec_m1,11-24,12-11
0,2020,11-25,11-27,5.162380282276137,5.2791042074871735,W,90%,Low,High,pos_change,20_Dec_m1,11-25,11-28
