,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.519077889004346,2.1972277338373027,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-10
0,2016,01-04,01-05,1.519077889004346,2.1972277338373027,W,90%,Low,High,pos_change,16_Jan_m1,01-03,01-05
0,2016,02-05,02-18,2.0545634507678945,5.714646660569237,W,100%,Low,High,pos_change,16_Feb_m1,02-05,02-19
0,2016,01-28,01-29,3.926213000829785,2.9489495458129387,L,90%,Close,High,pos_change,16_Feb_m1,01-28,01-29
0,2016,03-10,03-11,1.0238102504185267,3.2126510123771914,W,100%,Low,High,pos_change,16_Mar_m1,03-08,03-16
0,2016,03-10,03-11,1.939851000792998,3.2126510123771914,W,90%,Low,High,pos_change,16_Mar_m1,03-10,03-13
0,2016,03-24,03-31,2.473542539705697,2.616662439358365,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-07
0,2016,03-29,03-30,3.694258671204356,2.272726438694937,L,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-25,04-29,2.607984491427879,3.97220656142078,W,100%,Low,High,pos_change,16_May_m1,04-22,05-03
0,2016,04-28,04-29,3.1302955498670806,2.605712890625,L,90%,Low,High,pos_change,16_May_m1,04-28,04-29
0,2016,06-02,06-13,2.1077605824069283,4.360232471420468,W,100%,Low,High,pos_change,16_Jun_m1,06-02,06-15
0,2016,05-25,05-26,2.775942320668417,0.9710936289145464,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-28,07-07,2.391005083151281,5.551833564649789,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-08
0,2016,06-21,06-22,2.680176995073714,1.8614961830202563,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-22
0,2016,07-21,07-22,1.5227776729981366,0.8880824301148351,L,100%,Low,High,pos_change,16_Aug_m1,07-18,07-28
0,2016,07-18,07-19,2.847046444631763,0.5720348588970174,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-22,09-08,2.122820318423048,2.9015593744792403,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-09
0,2016,08-31,09-01,3.4654683831884747,0.7190850248313693,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,10-04,10-10,2.7421301417241444,3.020795263552724,W,100%,Low,High,pos_change,16_Oct_m1,10-03,10-19
