,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.3222406358645182,1.569641475442524,L,100%,Low,High,pos_change,16_Jan_m1,01-02,01-11
0,2016,01-26,02-18,6.666666666666667,22.531651123097244,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-18
0,2016,01-26,01-29,8.55797052110503,9.349009140994315,W,90%,Low,High,pos_change,16_Feb_m1,01-26,01-29
0,2016,02-25,03-08,2.7312118678555013,15.506653562294131,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-12
0,2016,02-24,02-25,3.980891802652759,4.956702789535679,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,03-30,2.79689713111898,3.222929021137264,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-04
0,2016,04-29,05-04,2.741855606504799,3.336025036218107,W,100%,Low,High,pos_change,16_May_m1,04-28,05-12
0,2016,04-29,05-02,4.784687344662875,2.127316214430868,L,90%,Low,High,pos_change,16_May_m1,04-29,05-02
0,2016,05-23,06-03,3.4523517400828,11.315789433041797,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-05
0,2016,05-26,05-27,4.745763369381862,3.2534543334751302,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-27,06-29,3.6122645690854274,6.38601448297157,W,100%,Low,Close,pos_change,16_Jul_m1,06-27,07-12
0,2016,06-30,07-01,4.655633613279211,4.317438970332885,L,90%,Low,High,pos_change,16_Jul_m1,06-30,07-01
0,2016,08-02,08-17,3.0588251133691444,35.76070182264078,W,100%,Low,High,pos_change,16_Aug_m1,08-01,08-18
0,2016,07-26,07-27,4.588435950743304,3.9473701692742376,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-27
0,2016,08-26,08-29,2.923978839004249,2.961894274915758,W,100%,Low,High,pos_change,16_Sep_m1,08-26,09-10
0,2016,08-31,09-01,4.731008165968096,1.683703891650078,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-29,10-05,2.962085343758164,3.320225484333798,W,100%,Low,High,pos_change,16_Oct_m1,09-28,10-06
0,2016,09-29,09-30,4.563262031674374,1.689243764439132,L,90%,Low,High,pos_change,16_Oct_m1,09-29,09-30
0,2016,10-26,10-27,3.881089392643105,4.314212145543417,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-06
0,2016,10-26,10-27,7.53550411116085,4.314212145543417,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,11-21,12-09,1.7623619286710173,13.961558115478404,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-11
