,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,0.9343475541077818,1.621360561721711,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-15
0,2016,01-27,02-01,1.960173003396923,3.978213378677151,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-19
0,2016,01-26,01-27,2.706101780073273,2.0332208696899654,L,90%,Low,High,pos_change,16_Feb_m1,01-26,01-27
0,2016,03-01,03-18,0.5901249220337355,5.950686010226081,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-18
0,2016,02-22,02-23,2.1371223781899045,0.9322225698274128,L,90%,Open,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-24,04-01,1.2294767868361802,2.599769510795294,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-07
0,2016,03-23,03-24,1.9834050380248984,0.0579918873746796,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-26
0,2016,04-25,04-27,2.0077161945563087,1.0767584830264263,L,100%,Low,Close,pos_change,16_May_m1,04-22,05-20
0,2016,04-18,04-19,3.051499854538247,1.4660211663509413,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-03,06-08,0.813665025416098,1.6874755242995043,W,100%,Low,High,pos_change,16_Jun_m1,06-03,06-14
0,2016,05-26,05-27,2.342489496544603,0.5740067472405097,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,07-08,07-14,0.9813122492880368,2.9435644737999307,W,100%,Low,High,pos_change,16_Jul_m1,07-08,07-14
0,2016,06-24,06-27,2.1031642907808097,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-24,06-27
0,2016,07-27,08-15,1.0267884495941035,1.609025605212205,W,100%,Low,High,pos_change,16_Aug_m1,07-27,08-19
0,2016,08-05,08-08,1.566612024361281,0.7677046668356717,L,90%,Low,High,pos_change,16_Aug_m1,08-05,08-08
0,2016,08-25,08-26,1.3306411883422715,0.838807933383255,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-13
0,2016,08-29,08-30,2.3710019865659167,0.5566369051168072,L,90%,Low,High,pos_change,16_Sep_m1,08-27,08-30
0,2016,09-29,09-30,1.6985146978636037,1.4031371593033546,L,100%,Low,High,pos_change,16_Oct_m1,09-28,10-12
