,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2020,01-08,01-20,2.673958956534124,4.347169358002266,W,100%,Low,High,pos_change,20_Jan_m1,01-07,01-23
0,2019,01-08,01-21,2.31700409784929,6.689552268920345,W,100%,Low,High,pos_change,19_Jan_m1,01-06,01-23
0,2018,01-08,01-23,2.31700409784929,11.029599172317235,W,100%,Low,High,pos_change,18_Jan_m1,01-06,01-23
0,2018,01-05,01-08,3.142163323578262,1.0967230677750988,L,90%,Low,High,pos_change,18_Jan_m1,01-05,01-08
0,2017,01-06,01-18,2.31700409784929,2.8613298360934274,W,100%,Low,High,pos_change,17_Jan_m1,01-06,01-23
0,2017,01-05,01-06,3.142163323578262,1.9082772152013376,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2016,01-07,01-08,2.31700409784929,2.80100741851086,W,100%,Low,High,pos_change,16_Jan_m1,01-06,01-23
0,2016,01-12,01-13,2.673958956534124,3.291353349240716,W,90%,Low,High,pos_change,16_Jan_m1,01-10,01-13
0,2020,02-11,02-17,3.280706832289336,2.543491454574075,L,100%,Open,High,pos_change,20_Feb_m1,02-11,02-25
0,2020,02-10,02-11,4.352179796221925,2.8817769534537474,L,90%,Low,High,pos_change,20_Feb_m1,02-10,02-11
0,2019,02-11,02-25,3.280706832289336,6.952026368510484,W,100%,Open,High,pos_change,19_Feb_m1,02-11,02-25
0,2019,02-11,02-13,3.8859989268798847,2.943447054506285,L,90%,Low,High,pos_change,19_Feb_m1,02-10,02-13
0,2018,02-12,02-23,3.280706832289336,8.096511724864518,W,100%,Open,High,pos_change,18_Feb_m1,02-11,02-25
0,2017,02-13,02-23,3.280706832289336,4.293746657813779,W,100%,Open,High,pos_change,17_Feb_m1,02-11,02-25
0,2017,02-02,02-03,3.943842133115992,0.520329253225894,L,90%,Low,High,pos_change,17_Feb_m1,02-02,02-03
0,2016,02-12,02-23,3.280706832289336,10.135208300952437,W,100%,Open,High,pos_change,16_Feb_m1,02-11,02-25
0,2016,02-02,02-03,3.943842133115992,0.0,L,90%,Low,High,pos_change,16_Feb_m1,02-02,02-03
