,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2020,01-06,01-10,1.3188660649632966,2.177390990515321,W,100%,Low,High,pos_change,20_Jan_m1,01-04,01-10
0,2019,01-04,01-09,1.3188660649632966,6.70956039362888,W,100%,Low,High,pos_change,19_Jan_m1,01-04,01-10
0,2018,01-19,01-26,0.7692466501526926,3.8691243825423625,W,100%,Low,High,pos_change,18_Jan_m1,01-19,01-28
0,2018,01-04,01-05,2.684923909292696,1.1471699897871404,L,90%,Low,High,pos_change,18_Jan_m1,01-04,01-07
0,2017,01-20,01-27,0.7692466501526926,2.357310134196625,W,100%,Low,High,pos_change,17_Jan_m1,01-19,01-28
0,2017,01-04,01-06,2.684923909292696,2.3963316696503254,L,90%,Low,High,pos_change,17_Jan_m1,01-04,01-07
0,2016,01-07,01-08,1.5080182742948378,1.3405314479621269,L,100%,Low,High,pos_change,16_Jan_m1,01-04,01-20
0,2016,01-04,01-05,3.082495102857729,1.060556822004362,L,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2020,02-10,02-17,2.7262398723559134,3.7371183996162634,W,100%,Low,High,pos_change,20_Feb_m1,02-10,02-23
0,2020,02-10,02-11,3.442091216254284,2.329201192548931,L,90%,Low,High,pos_change,20_Feb_m1,02-10,02-11
0,2019,02-11,02-22,2.7262398723559134,3.4776515438699085,W,100%,Low,High,pos_change,19_Feb_m1,02-10,02-23
0,2018,02-12,02-21,2.7262398723559134,6.8507944299571495,W,100%,Low,High,pos_change,18_Feb_m1,02-10,02-23
0,2017,02-10,02-23,2.2613322554758306,2.7262398723559134,W,100%,Low,High,pos_change,17_Feb_m1,02-10,02-25
0,2016,02-12,02-22,2.2613322554758306,6.8175693623910725,W,100%,Low,High,pos_change,16_Feb_m1,02-10,02-25
0,2020,03-04,03-05,1.2988145464504175,2.94637815437182,W,100%,Open,High,pos_change,20_Mar_m1,03-01,03-30
0,2020,03-04,03-05,2.220724945077055,2.94637815437182,W,90%,Low,High,pos_change,20_Mar_m1,03-04,03-07
0,2019,03-01,03-19,1.2988145464504175,2.869270677890571,W,100%,Open,High,pos_change,19_Mar_m1,03-01,03-30
0,2019,03-05,03-06,2.220724945077055,1.350278608474056,L,90%,Low,High,pos_change,19_Mar_m1,03-04,03-07
0,2018,03-01,03-21,1.2988145464504175,5.005350057425575,W,100%,Open,High,pos_change,18_Mar_m1,03-01,03-30
0,2018,03-05,03-07,2.220724945077055,2.7490573909843863,W,90%,Low,High,pos_change,18_Mar_m1,03-04,03-07
0,2017,03-03,03-21,1.2988145464504175,4.870152606687905,W,100%,Open,High,pos_change,17_Mar_m1,03-01,03-30
0,2017,03-22,03-23,2.2101727028993814,1.0725401372515089,L,90%,Low,High,pos_change,17_Mar_m1,03-21,03-24
0,2016,03-01,03-30,1.2988145464504175,8.961705737750998,W,100%,Open,High,pos_change,16_Mar_m1,03-01,03-30
0,2016,03-21,03-22,2.2101727028993814,0.7105722307428749,L,90%,Low,High,pos_change,16_Mar_m1,03-21,03-24
0,2020,04-02,04-17,2.296482175655024,8.39558261213775,W,100%,Low,High,pos_change,20_Apr_m1,04-02,04-27
0,2020,04-01,04-02,3.2263211559140323,1.4486017421453323,L,90%,Low,High,pos_change,20_Apr_m1,04-01,04-02
0,2019,04-02,04-15,2.296482175655024,2.524848027225649,W,100%,Low,High,pos_change,19_Apr_m1,04-02,04-27
0,2019,04-01,04-02,4.094916330588561,1.2022627590944577,L,90%,Low,High,pos_change,19_Apr_m1,04-01,04-02
0,2018,04-04,04-12,2.296482175655024,5.337025291643555,W,100%,Low,High,pos_change,18_Apr_m1,04-02,04-27
0,2017,04-03,04-05,2.2821142447398004,0.9860300022002668,L,100%,Low,High,pos_change,17_Apr_m1,04-03,04-19
0,2016,04-06,04-21,2.2821142447398004,7.635523554104477,W,100%,Low,High,pos_change,16_Apr_m1,04-04,04-21
0,2020,05-13,05-19,0.657856444146404,2.390311593535361,W,100%,Low,High,pos_change,20_May_m1,05-10,05-31
0,2020,05-12,05-13,2.4110542111610767,0.7623404096576282,L,90%,Low,High,pos_change,20_May_m1,05-12,05-13
0,2019,05-10,05-15,0.657856444146404,0.8448309282052989,W,100%,Low,High,pos_change,19_May_m1,05-10,05-31
0,2018,05-10,05-14,0.657856444146404,2.864040872444041,W,100%,Low,High,pos_change,18_May_m1,05-10,05-31
0,2017,05-10,05-31,0.657856444146404,3.5542086183162644,W,100%,Low,High,pos_change,17_May_m1,05-10,05-31
0,2016,05-13,05-31,0.657856444146404,7.043271626842524,W,100%,Low,High,pos_change,16_May_m1,05-10,05-31
0,2016,05-12,05-13,2.4110542111610767,0.0920829960316309,L,90%,Low,High,pos_change,16_May_m1,05-12,05-13
0,2020,06-18,06-24,1.078392700550491,3.9359671356606194,W,100%,Low,High,pos_change,20_Jun_m1,06-16,06-27
0,2020,06-04,06-05,1.948089580378024,2.504208392512277,W,90%,Low,High,pos_change,20_Jun_m1,06-04,06-06
0,2019,06-18,06-24,1.078392700550491,5.269879446441935,W,100%,Low,High,pos_change,19_Jun_m1,06-16,06-27
0,2019,06-04,06-05,1.948089580378024,1.6780959420586377,L,90%,Low,High,pos_change,19_Jun_m1,06-04,06-06
0,2018,06-22,06-25,1.3826602138755983,1.0793239158821328,L,100%,Low,High,pos_change,18_Jun_m1,06-21,06-28
0,2017,06-21,06-27,1.2535228924452266,1.3826602138755983,W,100%,Low,High,pos_change,17_Jun_m1,06-21,06-27
0,2017,06-13,06-14,2.3497403590146733,0.7496514613112374,L,90%,Low,High,pos_change,17_Jun_m1,06-13,06-16
0,2016,06-24,06-27,1.2535228924452266,3.3894682011128703,W,100%,Low,High,pos_change,16_Jun_m1,06-21,06-27
0,2016,06-14,06-15,2.3497403590146733,0.9560450113236304,L,90%,Low,High,pos_change,16_Jun_m1,06-13,06-16
0,2020,07-14,07-15,1.6288018881496231,2.5122789943428616,W,100%,Open,High,pos_change,20_Jul_m1,07-11,07-23
