,stock,W,L,Data_Type,Month_type,Min_vol,Test_perc,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
0,APH,44,15,pos_change,m1,2.4579894647141476,100%,0.7457627118644068,0,0.0,0,0.01948051948051948,0.6428571428571429,0.3409090909090909,2.327922077922078,7.210102429828167
1,EVRG,44,14,pos_change,m1,1.66609512946696,100%,0.7586206896551724,0,0.0,0,0.040584415584415584,0.06168831168831169,0.3409090909090909,0.6477272727272727,5.23629897832473
2,HUM,47,12,pos_change,m1,2.8863604346122296,100%,0.7966101694915254,0,0.0,0,0.1314935064935065,0.8831168831168831,0.3409090909090909,3.38474025974026,11.304911702231232
3,CMI,49,9,pos_change,m1,2.43202210190278,100%,0.8448275862068966,0,0.0,0,0.36363636363636365,0.6233766233766234,0.3409090909090909,3.3019480519480515,13.241009221470692
4,MDT,49,11,pos_change,m1,1.9460242004561334,100%,0.8166666666666667,MDT,3201.0,23.51%,0.21915584415584416,0.22727272727272727,0.7435064935064936,2.082792207792208,8.66865325657732
5,CMCSA,48,10,pos_change,m1,2.454840913735662,100%,0.8275862068965517,CMCSA,5354.0,23.94%,0.2597402597402597,0.6396103896103896,0.8051948051948052,3.5032467532467533,11.783236385931177
6,^GSPC,51,9,pos_change,m1,1.2485582146940943,100%,0.85,0,0.0,0,0.42694805194805197,0.003246753246753247,0.3409090909090909,1.6314935064935066,7.075163216599867
7,WEC,52,8,pos_change,m1,1.8382183674480659,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.14935064935064934,0.3409090909090909,2.508116883116883,11.94841938841243
8,BAC,51,6,pos_change,m1,2.1256848997156994,100%,0.8947368421052632,BAC,116936.0,26.16%,0.7288961038961039,0.38636363636363635,0.9935064935064936,4.339285714285714,18.068321647583446
9,AZO,47,12,pos_change,m1,2.44912281538989,100%,0.7966101694915254,0,0.0,0,0.1314935064935065,0.6331168831168831,0.3409090909090909,2.63474025974026,9.592397693610401
10,EXPD,44,16,pos_change,m1,2.179829228441623,100%,0.7333333333333333,0,0.0,0,0.00974025974025974,0.43506493506493504,0.3409090909090909,1.6753246753246753,5.994530378214462
11,WY,46,9,pos_change,m1,2.2291005541867963,100%,0.8363636363636363,WY,6021.0,28.66%,0.3587662337662338,0.4805194805194805,0.8116883116883117,3.3295454545454546,11.393180610288065
12,HBAN,50,6,pos_change,m1,2.2128985462422874,100%,0.8928571428571429,0,0.0,0,0.7191558441558441,0.461038961038961,0.3409090909090909,3.881493506493506,18.440821218685738
13,HES,50,5,pos_change,m1,2.8470824565536317,100%,0.9090909090909091,HES,3381.0,40.84%,0.8246753246753247,0.8636363636363636,0.75,5.814935064935065,28.470824565536308
14,XRAY,51,9,pos_change,m1,2.62268168443951,100%,0.85,0,0.0,0,0.42694805194805197,0.737012987012987,0.3409090909090909,3.832792207792208,14.861862878490555
15,MNST,47,13,pos_change,m1,2.834019246792411,100%,0.7833333333333333,0,0.0,0,0.1038961038961039,0.8538961038961039,0.3409090909090909,3.2142857142857144,10.246069584557178
16,JPM,47,13,pos_change,m1,2.4705951736725473,100%,0.7833333333333333,JPM,64391.0,21.40%,0.1038961038961039,0.6623376623376623,0.9772727272727273,3.275974025974026,8.93215178173921
17,UNH,46,14,pos_change,m1,2.670647418981766,100%,0.7666666666666667,UNH,6042.0,20.21%,0.06655844155844155,0.7694805194805194,0.814935064935065,3.323051948051948,8.774984376654377
18,WRB,53,6,pos_change,m1,1.908095599776885,100%,0.8983050847457628,0,0.0,0,0.7548701298701299,0.19805194805194806,0.3409090909090909,3.1996753246753245,16.854844464695827
19,IP,53,6,pos_change,m1,2.648677019780832,100%,0.8983050847457628,0,0.0,0,0.7548701298701299,0.7597402597402597,0.3409090909090909,4.884740259740259,23.396647008064026
20,HSY,55,5,pos_change,m1,1.7393864263299872,100%,0.9166666666666666,0,0.0,0,0.8701298701298701,0.10064935064935066,0.3409090909090909,3.2532467532467533,19.13325068962985
21,MXIM,46,14,pos_change,m1,2.7963210320589296,100%,0.7666666666666667,0,0.0,0,0.06655844155844155,0.827922077922078,0.3409090909090909,3.02435064935065,9.187911962479342
22,SLB,49,11,pos_change,m1,2.367242718861442,100%,0.8166666666666667,SLB,11161.0,41.13%,0.21915584415584416,0.5909090909090909,0.8733766233766234,3.303571428571429,10.54499029311006
23,ALK,46,14,pos_change,m1,3.4562539833924224,100%,0.7666666666666667,0,0.0,0,0.06655844155844155,0.9642857142857143,0.3409090909090909,3.433441558441558,11.35626308828939
24,KSU,49,11,pos_change,m1,2.8421006995020135,100%,0.8166666666666667,KSU,2098.0,27.62%,0.21915584415584416,0.8603896103896104,0.685064935064935,3.9237012987012982,12.66026675232715
25,COST,50,10,pos_change,m1,2.143616845728958,100%,0.8333333333333334,COST,18118.0,20.60%,0.3198051948051948,0.41233766233766234,0.9058441558441559,3.102272727272727,10.718084228644793
26,CCL,50,9,pos_change,m1,2.2568982293734576,100%,0.847457627118644,CCL,78612.0,50.62%,0.375,0.4967532467532468,0.9805194805194806,3.595779220779221,12.538323496519206
27,MCK,52,8,pos_change,m1,2.1577196766134374,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.4253246753246753,0.3409090909090909,3.3360389610389607,14.025177897987346
28,JNJ,53,4,pos_change,m1,1.5604066389843492,100%,0.9298245614035088,JNJ,7984.0,15.28%,0.8993506493506493,0.02922077922077922,0.8344155844155844,3.62012987012987,20.675387966542626
29,BDX,52,8,pos_change,m1,2.0260878813276717,100%,0.8666666666666667,BDX,2259.0,20.32%,0.573051948051948,0.3051948051948052,0.7077922077922078,3.3425324675324672,13.169571228629868
30,CAH,56,4,pos_change,m1,2.219784537116115,100%,0.9333333333333333,CAH,3870.0,29.29%,0.9285714285714286,0.474025974025974,0.7727272727272727,4.98051948051948,31.076983519625617
31,MAA,55,5,pos_change,m1,1.847280888633694,100%,0.9166666666666666,0,0.0,0,0.8701298701298701,0.15584415584415584,0.3409090909090909,3.418831168831169,20.320089774970626
32,TYL,45,15,pos_change,m1,3.0265677492511314,100%,0.75,0,0.0,0,0.02922077922077922,0.9188311688311688,0.3409090909090909,3.185064935064935,9.079703247753393
33,GWW,53,7,pos_change,m1,2.3966082993545785,100%,0.8833333333333333,0,0.0,0,0.6883116883116883,0.6038961038961039,0.3409090909090909,4.217532467532468,18.14574855225609
34,CAT,52,8,pos_change,m1,2.244456529064613,100%,0.8666666666666667,CAT,25690.0,24.62%,0.573051948051948,0.4902597402597403,0.9318181818181818,4.121753246753247,14.588967438919989
35,LUV,50,10,pos_change,m1,2.8643952471701772,100%,0.8333333333333334,LUV,4883.0,30.79%,0.3198051948051948,0.8766233766233766,0.7922077922077922,4.3814935064935066,14.32197623585089
36,MAS,47,13,pos_change,m1,2.7414138768283394,100%,0.7833333333333333,0,0.0,0,0.1038961038961039,0.7954545454545454,0.3409090909090909,3.038961038961039,9.911265554687073
37,PH,50,10,pos_change,m1,2.494179891944784,100%,0.8333333333333334,0,0.0,0,0.3198051948051948,0.6753246753246753,0.3409090909090909,3.3262987012987013,12.470899459723926
38,AFL,51,9,pos_change,m1,1.957589668045107,100%,0.85,0,0.0,0,0.42694805194805197,0.24675324675324675,0.3409090909090909,2.362012987012987,11.09300811892227
39,IEX,52,7,pos_change,m1,2.027678091125359,100%,0.8813559322033898,0,0.0,0,0.6525974025974026,0.30844155844155846,0.3409090909090909,3.224025974025974,15.062751534074094
40,GLW,46,14,pos_change,m1,2.657262275471963,100%,0.7666666666666667,0,0.0,0,0.06655844155844155,0.7662337662337663,0.3409090909090909,2.8392857142857144,8.73100461940788
